Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
BenchmarkParseText,"(3, 5, 5)",0.003476411397764568,75,494461.0,493649.0,494859.0
BenchmarkParseTextGzip,"(3, 5, 5)",0.0038363550583905776,75,553095.0,552332.0,553719.0
BenchmarkParseProto,"(3, 5, 5)",0.004488212795789294,75,135359.0,135051.0,135579.0
BenchmarkParseProtoGzip,"(3, 5, 5)",0.0038672385992070007,75,177393.0,177202.0,177745.0
BenchmarkParseProtoMap,"(3, 5, 5)",0.004193713545903497,75,142397.0,142186.0,142518.0
BenchmarkDiscriminatorHTTPHeader,"(3, 5, 5)",0.006366627628035481,75,5977.0,5970.0,5983.0
BenchmarkOpenMetricsCreate,"(3, 5, 5)",0.0036332754803607083,75,6065.0,6053.0,6072.0
BenchmarkCreate,"(3, 5, 5)",0.00488476755097071,75,5613.0,5593.0,5625.0
BenchmarkCreateBuildInfo,"(3, 5, 5)",0.009839324784954355,75,251.4,251.0,252.0
BenchmarkTextParse,"(3, 5, 5)",0.004645418182736065,75,160618.0,160425.0,160939.0
BenchmarkParseError,"(3, 5, 5)",0.005670369496886413,75,50965.0,50899.0,51005.0
BenchmarkLabelNames,"(3, 5, 5)",0.004448069837336693,75,229.6,229.1,230.0
BenchmarkLabelValues,"(3, 5, 5)",0.0034398195806876948,75,228.5,228.4,228.8
BenchmarkMetric,"(3, 5, 5)",0.0034815383107452665,75,1155.0,1154.0,1156.0
BenchmarkLabelToSignatureScalar,"(3, 5, 5)",0.0012579389870339714,75,2.074,2.074,2.075
BenchmarkLabelToSignatureSingle,"(3, 5, 5)",0.0044847461102046834,75,115.4,115.3,115.6
BenchmarkLabelToSignatureDouble,"(3, 5, 5)",0.00380879588478748,75,209.5,209.1,209.7
BenchmarkLabelToSignatureTriple,"(3, 5, 5)",0.0035367405797503944,75,273.6,273.4,274.0
BenchmarkMetricToFingerprintScalar,"(3, 5, 5)",0.0018957436868713594,75,1.942,1.94,1.944
BenchmarkMetricToFingerprintSingle,"(3, 5, 5)",0.008548391338053534,75,115.3,115.1,115.5
BenchmarkMetricToFingerprintDouble,"(3, 5, 5)",0.0027491497265297975,75,208.5,208.3,208.6
BenchmarkMetricToFingerprintTriple,"(3, 5, 5)",0.002636901303199022,75,273.8,273.6,274.0
BenchmarkMetricToFastFingerprintScalar,"(3, 5, 5)",0.001194108503136709,75,2.074,2.073,2.075
BenchmarkMetricToFastFingerprintSingle,"(3, 5, 5)",0.006584426813841069,75,55.78,55.73,55.84
BenchmarkMetricToFastFingerprintDouble,"(3, 5, 5)",0.006255287925263669,75,83.45,83.35,83.53
BenchmarkMetricToFastFingerprintTriple,"(3, 5, 5)",0.00454656423614215,75,110.1,109.9,110.2
BenchmarkEmptyLabelSignature,"(3, 5, 5)",0.2387038249382616,75,2.1099999999999998e-05,1.99e-05,2.385e-05
BenchmarkMetricToFastFingerprintTripleConc1,"(3, 5, 5)",0.004321536762120817,75,109.9,109.9,110.0
BenchmarkMetricToFastFingerprintTripleConc2,"(3, 5, 5)",0.0009239211055261106,75,105.3,105.3,105.3
BenchmarkMetricToFastFingerprintTripleConc4,"(3, 5, 5)",0.0009308557835923346,75,105.3,105.3,105.3
BenchmarkMetricToFastFingerprintTripleConc8,"(3, 5, 5)",0.0012047297910745616,75,105.3,105.3,105.3
