Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
BenchmarkParseText,"(2, 2, 2)",0.007685455149534909,8,494560.5,492984.9232420793,496742.4837129435
BenchmarkParseTextGzip,"(3, 1, 3)",0.006551651863146953,9,553100.6666666666,551841.6357046369,555339.7790771588
BenchmarkParseProto,"(3, 3, 1)",0.009078513477077577,9,135125.88888888888,134455.07541339422,135736.5198453562
BenchmarkParseProtoGzip,"(2, 4, 1)",0.009055028993490056,8,177816.625,177373.15234912228,178995.70731760576
BenchmarkParseProtoMap,"(2, 5, 1)",0.008450609017084526,10,142832.1,142252.5907957671,143538.5947434875
BenchmarkDiscriminatorHTTPHeader,"(1, 3, 1)",0.005412356744816467,3,5973.666666666667,5956.15370850125,5988.485323575868
BenchmarkOpenMetricsCreate,"(1, 3, 3)",0.00942684593935525,9,6048.666666666667,6024.83826836195,6081.725938788675
BenchmarkCreate,"(1, 5, 2)",0.009675124518941973,10,5591.4,5570.490435135026,5625.441082712103
BenchmarkCreateBuildInfo,"(2, 2, 1)",0.009368083655612201,4,251.4,250.51682391336723,252.87196014438814
BenchmarkTextParse,"(2, 4, 1)",0.00657645385923112,8,160602.875,159943.63183514436,161016.61325564559
BenchmarkParseError,"(3, 1, 2)",0.004189976441213154,6,50993.166666666664,50845.802248809916,51062.39999203967
BenchmarkLabelNames,"(1, 3, 1)",0.006133130752144323,3,230.03333333333333,229.61008598012782,231.02091049081275
BenchmarkLabelValues,"(1, 3, 1)",0.0,3,228.5,228.5,228.5
BenchmarkMetric,"(1, 3, 2)",0.00786559483136085,6,1155.0,1151.9980849024544,1160.1639777949435
BenchmarkLabelToSignatureScalar,"(1, 3, 1)",0.0001609162673317492,3,2.0726666666666667,2.072666474216577,2.073
BenchmarkLabelToSignatureSingle,"(3, 1, 4)",0.007748405190791449,12,115.59166666666668,115.2181827217507,116.09590353120137
BenchmarkLabelToSignatureDouble,"(1, 3, 2)",0.008626607853303606,6,209.51666666666668,208.5518581435523,210.33445699066408
BenchmarkLabelToSignatureTriple,"(3, 1, 1)",0.0057980059336224105,3,272.26666666666665,271.9158658335864,273.4944695824473
BenchmarkMetricToFingerprintScalar,"(1, 3, 1)",0.006886772618514346,3,1.9403333333333332,1.9381062275882013,1.951468862058992
BenchmarkMetricToFingerprintSingle,"(2, 4, 1)",0.009222688002425103,8,115.32499999999999,114.63571320985398,115.74619424062558
BenchmarkMetricToFingerprintDouble,"(2, 2, 1)",0.00798800644757929,4,208.575,207.79529875735776,209.4613972021616
BenchmarkMetricToFingerprintTriple,"(1, 3, 1)",0.004872724372476918,3,274.23333333333335,274.01062275882015,275.34688620589907
BenchmarkMetricToFastFingerprintScalar,"(3, 1, 1)",0.006437755486169156,3,2.0756666666666668,2.064531137941007,2.077893772411799
BenchmarkMetricToFastFingerprintSingle,"(1, 3, 1)",0.00718421208107252,3,55.800000000000004,55.46593413823012,55.866813172353964
BenchmarkMetricToFastFingerprintDouble,"(2, 2, 3)",0.00845186622570248,12,83.23333333333333,82.92164533852696,83.61106018721446
BenchmarkMetricToFastFingerprintTriple,"(2, 3, 1)",0.006650544135429529,6,110.26666666666667,109.83333333333331,110.5434149193725
BenchmarkEmptyLabelSignature,"(3, 1, 1)",1.8513341168103307e-07,3,2.2e-05,2.199999796353247e-05,2.2000002036467528e-05
BenchmarkMetricToFastFingerprintTripleConc1,"(2, 2, 1)",0.0009549795361529623,4,109.94999999999999,109.84999999999997,109.95499999999998
BenchmarkMetricToFastFingerprintTripleConc2,"(1, 4, 1)",0.00048658912888687616,4,105.325,105.27499999999999,105.32625
BenchmarkMetricToFastFingerprintTripleConc4,"(3, 1, 1)",0.0,3,105.3,105.3,105.3
BenchmarkMetricToFastFingerprintTripleConc8,"(1, 3, 1)",0.00204292190011871,3,105.13333333333333,105.08522081090085,105.3
