Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
BenchmarkScanComments/10Valid,"(3, 5, 5)",0.0054884372138561885,75,32.46,32.43,32.5
BenchmarkScanComments/1kValid,"(3, 5, 5)",0.0023674056265135276,75,2758.0,2756.0,2761.0
BenchmarkScanComments/1MValid,"(3, 5, 5)",0.003641978737140737,75,2816493.0,2814474.0,2821286.0
BenchmarkScanComments/10ValidUtf8,"(3, 5, 5)",0.0017688029749323166,75,21.68,21.67,21.69
BenchmarkScanComments/1kValidUtf8,"(3, 5, 5)",0.0020991641274447108,75,2343.0,2342.0,2344.0
BenchmarkScanComments/1MValidUtf8,"(3, 5, 5)",0.0024638154872221366,75,2346935.0,2345542.0,2348263.0
BenchmarkParseLiteralStringValid/1kValid,"(3, 5, 5)",0.0029576221160842746,75,3050.0,3045.0,3052.0
BenchmarkParseLiteralStringValid/1MValid,"(3, 5, 5)",0.003205871816673198,75,3108052.0,3105860.0,3110319.0
BenchmarkParseLiteralStringValid/10ValidUtf8,"(3, 5, 5)",0.0030629869966711785,75,22.22,22.2,22.24
BenchmarkParseLiteralStringValid/1kValidUtf8,"(3, 5, 5)",0.002305848840436807,75,2409.0,2407.0,2411.0
BenchmarkParseLiteralStringValid/1MValidUtf8,"(3, 5, 5)",0.0028800822207481337,75,2456043.0,2452972.0,2458565.0
BenchmarkParseLiteralStringValid/10Valid,"(3, 5, 5)",0.003190421987669007,75,35.01,34.98,35.06
BenchmarkParseBasicStringWithUnicode/4,"(3, 5, 5)",0.006087258405376282,75,151.6,151.1,151.8
BenchmarkParseBasicStringWithUnicode/8,"(3, 5, 5)",0.40703112847584916,75,244.9,244.3,245.3
BenchmarkParseBasicStringsEasy/1,"(3, 5, 5)",0.002231489367438507,75,9.376,9.369,9.383
BenchmarkParseBasicStringsEasy/4,"(3, 5, 5)",0.0027891515631395533,75,15.14,15.12,15.15
BenchmarkParseBasicStringsEasy/8,"(3, 5, 5)",0.0030519199440471553,75,20.66,20.64,20.67
BenchmarkParseBasicStringsEasy/16,"(3, 5, 5)",0.2631805003406383,75,34.46,34.44,34.48
BenchmarkParseBasicStringsEasy/21,"(3, 5, 5)",0.0020949572094326177,75,44.4,44.38,44.44
BenchmarkUnmarshalDataset/config,"(3, 5, 5)",0.008626492820581866,75,26133838.0,26087011.0,26210502.0
BenchmarkUnmarshalDataset/canada,"(3, 5, 5)",0.03625343934076559,75,124948411.0,123155278.0,126290529.0
BenchmarkUnmarshalDataset/citm_catalog,"(3, 5, 5)",0.26944442740346125,75,42418371.0,42193483.0,42879626.0
BenchmarkUnmarshalDataset/twitter,"(3, 5, 5)",0.01930469753062215,75,15209557.0,15087111.0,15369403.0
BenchmarkUnmarshalDataset/code,"(3, 5, 5)",0.0364503370438988,75,115205849.0,113945200.0,117119447.0
BenchmarkUnmarshalDataset/example,"(3, 5, 5)",0.01373978595860729,75,186971.0,186494.0,187321.0
BenchmarkUnmarshal/SimpleDocument/struct,"(3, 5, 5)",0.10758468001767128,75,751.1,749.5,758.5
BenchmarkUnmarshal/SimpleDocument/map,"(3, 5, 5)",0.2041957434676655,75,1007.0,1003.0,1030.0
BenchmarkUnmarshal/ReferenceFile/struct,"(3, 5, 5)",0.028673893816375584,75,55327.0,55196.0,55540.0
BenchmarkUnmarshal/ReferenceFile/map,"(3, 5, 5)",0.015117607933148047,75,83303.0,83168.0,83472.0
BenchmarkUnmarshal/HugoFrontMatter,"(3, 5, 5)",0.03729074824242239,75,14311.0,14240.0,14448.0
BenchmarkMarshal/SimpleDocument/struct,"(3, 5, 5)",0.062321084931771124,75,476.4,474.7,494.2
BenchmarkMarshal/SimpleDocument/map,"(3, 5, 5)",0.04588286180131809,75,740.9,738.1,745.0
BenchmarkMarshal/ReferenceFile/struct,"(3, 5, 5)",0.0969444351246943,75,41602.0,41526.0,41730.0
BenchmarkMarshal/ReferenceFile/map,"(3, 5, 5)",0.06432918074536856,75,57146.0,57008.0,57600.0
BenchmarkMarshal/HugoFrontMatter,"(3, 5, 5)",0.05474217713026914,75,10234.0,10198.0,10285.0
