Benchmark,Time Saved,Average Difference,CI Upper Difference,CI Lower Difference
BenchmarkBoolsArrayMarshaler,72,0.0014606898688969356,0.0024589945760572257,0.0012344440173957904
BenchmarkBoolsReflect,63,0.0025207748901709265,0.0045722414724455535,0.0008250323630134634
BenchmarkNoContext,72,-0.007396680902911747,-0.01906616043268587,-0.0009867345309965488
BenchmarkBoolField,0,0.0,0.0,0.0
BenchmarkByteStringField,0,0.0,0.0,0.0
BenchmarkFloat64Field,0,0.0,0.0,0.0
BenchmarkIntField,72,0.0005382804109297135,-0.0021760019258044664,0.00044910502917928685
BenchmarkInt64Field,0,0.0,0.0,0.0
BenchmarkStringField,0,0.0,0.0,0.0
BenchmarkStringerField,72,-0.013157093108549274,-0.018106054284128283,-0.010239547450500132
BenchmarkTimeField,71,-0.019046723841246033,-0.021715250319147852,-0.016518145959997618
BenchmarkDurationField,0,0.0,0.0,0.0
BenchmarkErrorField,0,0.0,0.0,0.0
BenchmarkErrorsField,71,0.0012846671200784968,-0.004046079374478128,0.004732135223123771
BenchmarkStackField,72,-0.00734740182045408,-0.007609672877541702,-0.009126328813715154
BenchmarkObjectField,72,-0.019543341743669913,-0.027812574553876347,-0.01248452319658209
BenchmarkReflectField,72,0.002932946768701813,0.006427676024936727,0.000396824073549283
BenchmarkAddCallerHook,72,0.0005804894442577303,0.002341810686237524,-0.0026000841203685826
BenchmarkAddCallerAndStacktrace,72,0.008221333863936399,0.008690676612369495,0.007935753013276124
Benchmark10Fields,15,0.0007731867142229836,0.0017166723692438866,0.00023806975116448943
Benchmark100Fields,72,-0.0009253864345203499,0.0014393835541751374,-0.004222775823658894
BenchmarkTakeStacktrace,67,0.0036060493079181936,0.007485008281745404,0.0009934988060400934
BenchmarkSugarSingleStrArg,35,0.0031539633554762163,0.003954265352627503,0.002454996382597945
BenchmarkLnSugarSingleStrArg,45,0.012631423403359788,0.008777135882649568,0.01875980607583133
BenchmarkBuffers/ByteSlice,72,0.0011347111444055655,0.00019805902158841156,0.00132297006780207
BenchmarkBuffers/BytesBuffer,69,-0.029546130348985105,-0.036378881204681274,-0.0225892507579826
BenchmarkBuffers/CustomBuffer,0,0.0,0.0,0.0
BenchmarkBufferedWriteSyncer/write_file_with_buffer,72,0.0006665518467734354,0.0010203356337137519,0.00021992273850780745
BenchmarkMultiWriteSyncer/2_discarder,72,0.0019422994931071267,0.0023118573949019424,0.0007960974287747578
BenchmarkMultiWriteSyncer/4_discarder,72,0.0008556165112416999,0.001987214786793023,-0.0006261830901777651
BenchmarkMultiWriteSyncer/4_discarder_with_buffer,67,-0.006244787553600586,-0.005609080091447026,-0.00828757433827647
BenchmarkWriteSyncer/write_file_with_no_buffer,59,0.015749725903556475,0.009375126790313697,0.024616050050274067
BenchmarkZapConsole,15,-0.0007703729722825193,-0.0003915771295342658,-0.0012085912195747628
BenchmarkJSONLogMarshalerFunc,0,0.0,0.0,0.0
BenchmarkZapJSONFloat32AndComplex64,30,-0.0007343608843367217,0.00019712796930494177,-0.001745895980805556
BenchmarkZapJSON,71,0.013429956470122646,0.014873033080384923,0.013670184752049442
BenchmarkStandardJSON,0,0.0,0.0,0.0
BenchmarkSampler_Check/7_keys,72,6.531927517362425e-05,4.3521545885450014e-05,0.00021782339967854137
BenchmarkSampler_Check/50_keys,72,0.00019400053350144577,0.00041699193653979365,0.00019404759017146818
BenchmarkSampler_Check/100_keys,72,-0.000925540059893582,0.000595852286764973,-0.002825871997208102
BenchmarkSampler_CheckWithHook/7_keys,72,-0.00040799673602613006,-0.0010980821580141758,-0.0009884143881523414
BenchmarkSampler_CheckWithHook/50_keys,72,-0.00023113568949086226,-0.0012804949824587997,-0.00023154225736274076
BenchmarkSampler_CheckWithHook/100_keys,72,-0.002020573894356867,-0.003622435825542385,-0.0009217972903448075
BenchmarkTeeCheck,0,0.0,0.0,0.0
BenchmarkWriter/single,72,-0.005174309211221708,-0.006232303579619689,-0.004841331054316203
BenchmarkWriter/splits,72,-0.00500676958864509,-0.00741189051507512,-0.004049832904731302
