Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
jenetics#io.jenetics.util.ThreadIDPerf.getThreadId#,"(5, 100)",0.015631035229107446,500,37.101851822158366,36.9633601285136,37.233140897677686
jenetics#io.jenetics.util.SeqPerf.array_set#,"(5, 100)",0.9493162546619434,500,0.00642671127787175,0.0059377464396715,0.00709703343338135
jenetics#io.jenetics.internal.util.IndexSorterPerf.insertionSort160#,"(5, 100)",0.010496093925953775,500,16777.547520735923,16658.325702181777,16888.279901168968
jenetics#io.jenetics.util.SeqPerf.arrayList_contains#,"(5, 100)",0.01187181039118367,500,558.5775354353575,558.0921273031826,559.7411764705882
jenetics#io.jenetics.util.SeqPerf.array_forLoop#,"(5, 100)",0.9082561628783623,500,0.00436404597067645,0.003662174216731784,0.0047922600479226
jenetics#io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf80#,"(5, 100)",0.03941436921475609,500,53.51700309727289,53.00097522836872,54.21458104528716
jenetics#io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf20#,"(5, 100)",0.01469820059851553,500,44.896792114363464,44.63031633731735,45.16820296569119
jenetics#io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf10#,"(5, 100)",0.025216902875214147,500,41.25881006382694,40.9996418687369,41.4996389389473
jenetics#io.jenetics.util.SeqPerf.array_get#,"(5, 100)",1.0867960203452363,500,0.00354133029083325,0.0033228677204123003,0.0037561601590733002
jenetics#io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf40#,"(5, 100)",0.030904905781375207,500,50.52288355140146,50.03836059722593,51.15863032844165
jenetics#io.jenetics.internal.util.IndexSorterPerf.heapSort160#,"(5, 100)",0.007911881703033478,500,10910.191962200417,10864.552500043665,10961.518786500574
jenetics#io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf15#,"(5, 100)",0.014304474195291397,500,42.6845117001274,42.500784074438464,42.906143790186874
jenetics#io.jenetics.internal.util.IndexSorterPerf.insertionSort320#,"(5, 100)",0.010416464318802663,500,60843.501522718965,60438.4957636272,61150.05706133607
jenetics#io.jenetics.internal.util.IndexSorterPerf.insertionSort80#,"(5, 100)",0.01545347576048378,500,4550.946377151178,4519.907154588126,4617.066961815163
jenetics#io.jenetics.util.SeqPerf.mseq_forLoop#,"(5, 100)",0.009804621747905487,500,1.0038162034485838,1.003664370780036,1.0039864959115703
jenetics#io.jenetics.util.SeqPerf.array_copy#,"(5, 100)",0.7855213225522946,500,0.0467108209868736,0.0355333448216439,0.054464477884105016
jenetics#io.jenetics.util.SeqPerf.arrayList_copy#,"(5, 100)",0.9232508288370039,500,0.044595975008336,0.0189719310111599,0.0494283201407211
jenetics#io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf250#,"(5, 100)",0.03369437578748959,500,68.05151156139793,67.23978230711771,68.58714706398064
jenetics#io.jenetics.internal.util.IndexSorterPerf.heapSort320#,"(5, 100)",0.004396192211512312,500,26409.358377018812,26359.95737272487,26475.57853142191
jenetics#io.jenetics.util.SeqPerf.mseq_get#,"(5, 100)",0.007106409520565145,500,1.0040000954063633,1.003833479476678,1.0043573724335013
jenetics#io.jenetics.util.SeqPerf.arrayList_forLoop#,"(5, 100)",0.006428398707732244,500,1.0039167356135115,1.0037143333295206,1.004095031812644
jenetics#io.jenetics.util.SeqPerf.mseq_set#,"(5, 100)",1.4541885139106379,500,0.0056832581314905,0.005348468335186523,0.0061955559696278
jenetics#io.jenetics.util.SeqPerf.mseq_contains#,"(5, 100)",0.011820887573389843,500,714.2703571428572,713.8757142857143,714.3482160714285
jenetics#io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf160#,"(5, 100)",0.03702266349899099,500,61.73334128324963,57.959867008559115,63.972956960989904
jenetics#io.jenetics.internal.util.IndexSorterPerf.heapSort250#,"(5, 100)",0.004260169769719033,500,20076.063826545706,20037.587501207345,20123.359576423045
jenetics#io.jenetics.util.SeqPerf.arrayList_set#,"(5, 100)",1.1828312112124744,500,0.00600573592407905,0.005629903091832,0.006512719226826215
jenetics#io.jenetics.internal.util.IndexSorterPerf.insertionSort250#,"(5, 100)",0.010737672068939483,500,37768.45693584961,37494.91996817957,37992.646949848815
jenetics#io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf40#,"(5, 100)",0.011553550346295433,500,49.935923740125986,49.70858525172205,50.30449401344924
jenetics#io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf250#,"(5, 100)",0.010891373372655522,500,130.4591719359596,130.0119746777515,131.08600308661832
jenetics#io.jenetics.util.SeqPerf.arrayList_forEachLoop#,"(5, 100)",0.006378351246462236,500,1.0051639547416635,1.00477092541921,1.005555082499101
jenetics#io.jenetics.util.SeqPerf.mseq_copy#,"(5, 100)",2.282070960693621,500,0.04719920379334895,0.0359475752409096,0.0534704370179948
jenetics#io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf160#,"(5, 100)",0.013476044141145893,500,100.55255969992103,99.90695101096466,101.14282855917456
jenetics#io.jenetics.internal.util.IndexSorterPerf.heapSort80#,"(5, 100)",0.0063952842118113855,500,5686.8318181983705,5666.437906137185,5704.736712825368
jenetics#io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf80#,"(5, 100)",0.023011142833609152,500,63.18429129988752,62.61135471448387,63.91883594768495
jenetics#io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf15#,"(5, 100)",0.012625298125610609,500,41.94045183545403,41.726912980449015,42.14466455511851
jenetics#io.jenetics.util.ThreadIDPerf.getThread#,"(5, 100)",0.01710792516533022,500,34.84851641467725,34.72969095830512,35.01539115792618
jenetics#io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf10#,"(5, 100)",0.014497316447846378,500,42.299761781143545,42.00422159936331,42.5703321727519
jenetics#io.jenetics.util.SeqPerf.arrayList_get#,"(5, 100)",0.00408314096141889,500,1.0038495724398477,1.0036966092011963,1.004001215580812
jenetics#io.jenetics.util.SeqPerf.mseq_forEachLoop#,"(5, 100)",0.009945683857522208,500,1.0057342245469343,1.0053570768832896,1.0061692798687878
jenetics#io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf20#,"(5, 100)",0.017649496839668054,500,44.36182853345619,44.11239564007933,44.62729200449045
