Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
rxjava#io.reactivex.XMapYPerf.flowFlatMapFlowable1#times=10000,"(3, 1)",0.003044334546708044,3,235211.52120640903,234495.4586466166,239467.15279443515
rxjava#io.reactivex.XMapYPerf.obsFlatMapMaybe0#times=1000,"(3, 1)",0.00860749070776296,3,131617.18268215418,130484.2890052356,133092.20288307528
rxjava#io.reactivex.XMapYPerf.flowFlatMapCompletable0#times=10000,"(5, 1)",0.009089094672145604,5,1177783.5471698116,1149564.3176064442,1188488.5333333334
rxjava#io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=10000&maxConcurrency=32&work=100,"(5, 100)",0.023922854220175874,500,24871311.609756105,24736643.121951215,24995434.496
rxjava#io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=100&maxConcurrency=1&work=100,"(5, 100)",0.029970637840839993,500,5899998.870588236,5858789.05263158,5934861.6331360955
rxjava#io.reactivex.FlattenCrossMapPerf.observable#times=1000,"(3, 1)",0.0019941396711702294,3,8249746.8852459,8233295.737704918,8346692.266666668
rxjava#io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=10000&maxConcurrency=8&work=1000,"(1, 3)",0.003164761351159417,3,34989444.4137931,33509649.066666663,35100177.655172415
rxjava#io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=10&maxConcurrency=8&work=1000,"(5, 100)",0.04208905860116581,500,39246.98399949047,39011.451181356766,39721.80819241403
rxjava#io.reactivex.xmapz.ObservableSwitchMapSinglePerf.observablePlain#count=100,"(3, 1)",0.0005419049346830027,3,10447.64694395626,10170.9554809066,10453.308575391016
rxjava#io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=1&maxConcurrency=8&work=100,"(1, 3)",0.0015493632045103494,3,42241.87711396278,42176.42910387296,48478.68592621511
rxjava#io.reactivex.BlockingPerf.flowableBlockingLast#times=1,"(1, 88)",0.009819962908425406,88,74.06683566721303,73.7395766687993,74.75854621086877
rxjava#io.reactivex.XMapYPerf.flowFlatMapIterable1#times=1000,"(4, 1)",0.006950669850105169,4,25352.48403719843,25049.72555189537,26387.290279558867
rxjava#io.reactivex.xmapz.ObservableConcatMapCompletablePerf.observableConvert#count=1,"(3, 1)",0.0010433491164327493,3,389.759501631097,377.7517089651921,390.1661568627451
rxjava#io.reactivex.XMapYPerf.obsFlatMapMaybeAsObs1#times=10000,"(4, 1)",0.005306588926333233,4,2179375.2699318794,2167628.0780911064,2270789.818181819
rxjava#io.reactivex.FlowableFlatMapCompletableSyncPerf.flatMap#items=1000000&maxConcurrency=32,"(1, 4)",0.009985342616342811,4,170331184.76190478,167138645.33333337,172840277.3333333
rxjava#io.reactivex.xmapz.ObservableFlatMapCompletablePerf.observablePlain#count=100000,"(3, 1)",0.00023701970906539287,3,354890.2873399716,354806.1713473161,356027.41063146625
rxjava#io.reactivex.xmapz.FlowableConcatMapSinglePerf.flowableDedicated#count=100000,"(1, 3)",0.0003430980116659415,3,9460523.471698117,9457277.584905658,10121340.121212125
rxjava#io.reactivex.xmapz.FlowableConcatMapMaybeEmptyPerf.flowablePlain#count=10,"(3, 1)",0.0016424877605076041,3,742.5519141531323,727.2782513219104,743.7715465836703
rxjava#io.reactivex.BinaryFlatMapPerf.maybeFlatMapHideObservable#times=1000,"(3, 1)",0.004128183714255215,3,10841.359267541451,10796.604144772797,11037.544614863147
rxjava#io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=100000&maxConcurrency=1&work=10,"(1, 3)",0.0013679890560877065,3,6132072448.000001,6123683840.0,6182404096.0
rxjava#io.reactivex.XMapYPerf.flowFlatMapCompletable0#times=1000000,"(3, 1)",0.0012856775520699115,3,113275335.11111112,113129699.55555557,114717127.11111107
rxjava#io.reactivex.ReducePerf.obsSingle#times=1,"(3, 1)",0.009442480328652397,3,220.01302308518723,217.935554442658,258.6139260507743
rxjava#io.reactivex.XMapYPerf.obsFlatMapMaybe0#times=10,"(3, 1)",0.0067432108144615316,3,3032.688599990614,3012.238541426263,3054.485068716515
rxjava#io.reactivex.ReducePerf.flowSingle#times=1,"(5, 100)",0.019891082256861654,500,61.176334315482194,60.924284231121135,61.44923151588179
rxjava#io.reactivex.FlowableFlatMapCompletableSyncPerf.flatMapCompletable#items=10&maxConcurrency=1,"(3, 1)",0.005120041234858178,3,2632.6243897723425,2619.1452443408148,2652.217594850288
rxjava#io.reactivex.xmapz.ObservableConcatMapMaybeEmptyPerf.observablePlain#count=100,"(3, 1)",0.0015022276686202228,3,4539.683849686307,4449.596401028278,4546.503488372095
rxjava#io.reactivex.parallel.ParallelPerf.flatMap#compute=1000&count=10000&parallelism=4,"(5, 100)",0.2863141104620271,500,63886904.8888889,57782727.11111111,67882188.8
rxjava#io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=1000&maxConcurrency=8&work=100,"(3, 1)",0.0055296361138659255,3,2698898.6810810813,2623385.8687664047,2713822.6086956523
rxjava#io.reactivex.parallel.ParallelPerf.flatMap#compute=100&count=10000&parallelism=3,"(5, 100)",0.030365769496204252,500,227907993.6,226544844.8,229533548.54400003
rxjava#io.reactivex.xmapz.ObservableConcatMapMaybePerf.observablePlain#count=1000000,"(4, 1)",0.005378943551311447,4,120484295.11111112,119406592.0,125075456.0
rxjava#io.reactivex.XMapYPerf.flowFlatMapMaybe1#times=1000000,"(3, 1)",0.008227114716106605,3,141393920.0,140230656.0,143037001.14285713
rxjava#io.reactivex.xmapz.FlowableConcatMapMaybePerf.flowableDedicated#count=10,"(1, 46)",0.009590985553509386,46,1307.0185341695214,1298.2545836362167,1363.4725571092995
rxjava#io.reactivex.xmapz.FlowableFlatMapCompletablePerf.flowableConvert#count=10000,"(3, 1)",0.001871703302900475,3,1811255.652173913,1807865.518987342,1857383.732342008
rxjava#io.reactivex.BlockingGetPerf.flowableBlockingFirst#,"(3, 1)",0.0022192977459207057,3,247.3888840057426,246.8398544131028,249.4237555043597
rxjava#io.reactivex.xmapz.FlowableFlatMapCompletablePerf.flowableConvert#count=1000,"(3, 1)",0.00615153164084178,3,182310.7978062157,179660.30192758064,183432.28844738775
rxjava#io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=1000&maxConcurrency=256&work=100,"(3, 1)",0.0020797696255186364,3,2641562.412698413,2500812.8000000003,2647056.2539682547
rxjava#io.reactivex.xmapz.ObservableFlatMapCompletablePerf.observableDedicated#count=1000,"(3, 1)",0.000952733986079681,3,111933.18926204652,111755.65332436372,112039.83181562676
rxjava#io.reactivex.parallel.ParallelPerf.flatMap#compute=1&count=10000&parallelism=1,"(3, 1)",0.0006868131868131868,3,763363328.0000001,715128832.0,763887616.0000001
rxjava#io.reactivex.BinaryFlatMapPerf.completableFlatMapPublisher#times=1000000,"(3, 1)",0.00039174719247826083,3,10910319.304347828,10900702.608695652,10914593.391304348
rxjava#io.reactivex.FlowableFlatMapCompletableSyncPerf.flatMapCompletable#items=1&maxConcurrency=256,"(5, 1)",0.007543184656292865,5,657.3925482551275,613.9231433506045,662.3513816382869
rxjava#io.reactivex.StrictPerf.external#count=10000&cpu=10,"(3, 1)",0.0028415147892821547,3,343557.81417756365,342581.58956760465,346410.99236641225
rxjava#io.reactivex.xmapz.FlowableSwitchMapMaybePerf.flowableConvert#count=1000000,"(3, 1)",0.00023416461772620827,3,159926564.5714286,159889115.42857146,169235797.33333334
rxjava#io.reactivex.xmapz.ObservableSwitchMapCompletablePerf.observablePlain#count=100000,"(3, 1)",0.0004998197371439006,3,8545166.222222226,8527247.18644068,8549437.264957268
rxjava#io.reactivex.StrictPerf.internal#count=100000&cpu=1,"(1, 3)",0.0013544883852422771,3,908335.4332425068,907105.1034482758,928819.3903345728
rxjava#io.reactivex.xmapz.FlowableConcatMapSinglePerf.flowablePlain#count=10000,"(3, 1)",0.003917239703192657,3,201208.2565033273,200420.0755323423,203681.08452429564
rxjava#io.reactivex.xmapz.FlowableFlatMapMaybePerf.flowableDedicated#count=1,"(1, 31)",0.00944008856431628,31,281.92984951947403,280.33160218932704,298.20158143007444
rxjava#io.reactivex.FlowableFlatMapCompletableSyncPerf.flatMap#items=100&maxConcurrency=1,"(3, 1)",0.007309627536220858,3,18220.68107896284,18087.494686819355,18887.899519763578
rxjava#io.reactivex.xmapz.FlowableConcatMapCompletablePerf.flowablePlain#count=1000000,"(3, 1)",0.0029797765981699202,3,7453385.007407408,7431175.585185185,7477278.567164181
rxjava#io.reactivex.xmapz.FlowableSwitchMapMaybePerf.flowableDedicated#count=1000,"(3, 1)",5.875009262948887e-05,3,75474.58033209493,75470.14619350925,75778.35304864125
rxjava#io.reactivex.xmapz.ObservableFlatMapSinglePerf.observableConvert#count=10,"(5, 100)",0.02448566919534203,500,1885.5337723557695,1880.4052302801983,1889.96812720682
rxjava#io.reactivex.XMapYPerf.flowFlatMapIterable1#times=1,"(4, 1)",0.005430347117951375,4,317.5455461143624,315.63765595210225,343.2167898555639
