Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
squidlib#squidpony.performance.DataStructureBenchmark.insertIntegerSquidOS#NEED_TO_ENLARGE=2&SIZE=65536,"(5, 100)",0.04621651022454316,500,1208160.2708585248,1198269.0839328538,1240545.4487122972
squidlib#squidpony.performance.DataStructureBenchmark.insertStringSquidDefaultOS2#NEED_TO_ENLARGE=2&SIZE=65536,"(1, 79)",0.009823680807871252,79,3999072.256,3986778.7729083663,4006510.5920000006
squidlib#squidpony.performance.DijkstraBenchmark.doPathGDXAStar#,"(5, 90)",0.009738556838377177,450,136773632.0,136577024.0,136937472.0
squidlib#squidpony.performance.WaypointBenchmark.countWaypoint#,"(1, 86)",0.0098514969671575,86,19586126.769230768,19558084.923076924,19617109.33333333
squidlib#squidpony.performance.RNGBenchmark.measureThreadLocal#,"(5, 100)",0.02430284980063301,500,36.7462556036262,36.47973964063074,36.96123001636818
squidlib#squidpony.performance.DataStructureBenchmark.insertIntegerSquidMildOS#NEED_TO_ENLARGE=0&SIZE=65536,"(5, 100)",0.019354291418116065,500,761815.4146341463,759509.1562070915,763941.549274255
squidlib#squidpony.performance.HashBenchmark.doWisp64#,"(5, 100)",0.026181362893884834,500,128.02259161685666,127.44350095369973,128.71561502912604
squidlib#squidpony.performance.DataStructureBenchmark.insertStringSquidMildOS#NEED_TO_ENLARGE=2&SIZE=65536,"(1, 87)",0.009966491074688983,87,5305165.206349206,5228800.0,5334124.936170214
squidlib#squidpony.performance.NoiseBenchmark.measureEasySimplex4D#,"(5, 100)",0.03596571244299912,500,140.96070209952686,139.6398494143893,142.49527660017316
squidlib#squidpony.performance.CoordPackerBenchmark.doUnionG#,"(1, 55)",0.009955436895266567,55,1588.4413923987418,1585.0154368786532,1592.8543175348352
squidlib#squidpony.performance.DataStructureBenchmark.insertIntegerLinkedHashMap#NEED_TO_ENLARGE=1&SIZE=65536,"(5, 100)",0.03801480484064037,500,1914703.4482758623,1879513.5037593984,1953336.0
squidlib#squidpony.performance.DataStructureBenchmark.insertStringSquidDefaultOM2#NEED_TO_ENLARGE=0&SIZE=65536,"(5, 100)",0.012893807304743122,500,2998756.407185629,2973912.3707333617,3012311.9036144577
squidlib#squidpony.performance.DataStructureBenchmark.insertStringSquidMildOS#NEED_TO_ENLARGE=0&SIZE=65536,"(1, 87)",0.009963769272210363,87,1770784.1699115045,1765922.3745583042,1777536.6820603907
squidlib#squidpony.performance.DataStructureBenchmark.insertStringSquidDefaultOM3#NEED_TO_ENLARGE=0&SIZE=65536,"(5, 100)",0.08223929268958792,500,5056933.949748744,4758980.723087339,5252315.8115183255
squidlib#squidpony.performance.DataStructureBenchmark.insertIntegerSquidPrimitiveOM3#NEED_TO_ENLARGE=2&SIZE=65536,"(5, 100)",0.009894962783132804,500,2806621.6483177543,2799145.5910364147,2811731.7608988765
squidlib#squidpony.performance.CoordPackerBenchmark.doPack#,"(1, 96)",0.009804263109697679,96,181427.6309037722,181107.8448713302,181982.45162652066
squidlib#squidpony.performance.HashBenchmark.doLongJDK32#,"(5, 100)",0.01319529699017,500,310.3045358549807,308.4394501940113,312.1827380313919
