Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#,"(1, 22)",0.008952775295521884,22,7572646.35042151,7516252.390977444,7874240.000000001
zipkin#zipkin2.codec.ProtoCodecBenchmarks.bytes_protobufDecoder#,"(5, 1)",0.009760669034741489,5,2443859.872860636,2360841.660377359,2570582.210796915
zipkin#zipkin2.codec.CodecBenchmarks.writeTenClientSpans_JSON_V2#,"(3, 1)",0.007449429107871349,3,24573.2945510956,24390.237535390374,24967.368617990254
zipkin#zipkin2.internal.ReadBufferBenchmarks.readLong_8arity#,"(1, 16)",0.00870726232652317,16,35.608766844163625,35.38330542389237,37.68318855390904
zipkin#zipkin2.SpanBenchmarks.padLeft_1Char#,"(5, 100)",0.029882831824974088,500,68.3188437278894,67.86496049017008,69.54294627106967
zipkin#zipkin2.EndpointBenchmarks.parseIpv4_bytes#,"(3, 1)",0.008104155028522329,3,373.12807467271983,273.66400761604626,376.1519624353616
zipkin#zipkin2.codec.CodecBenchmarks.writeClientSpan_PROTO3#,"(1, 8)",0.006861868116943363,8,988.3633431902238,981.5813242776312,1972.1954656990636
zipkin#zipkin2.SpanBenchmarks.buildClientSpan#,"(5, 100)",0.09795664565321645,500,350.3432151552749,340.82542598173495,357.8030314795855
zipkin#zipkin2.SpanBenchmarks.buildClientSpan_longs#,"(5, 100)",0.17192979773662664,500,403.50945760644277,382.26755831594926,420.9982143405214
zipkin#zipkin2.codec.CodecBenchmarks.readTenClientSpans_JSON_V2#,"(3, 1)",0.004293987982975409,3,116873.81779710828,116371.96302796304,118401.71408165694
zipkin#zipkin2.codec.CodecBenchmarks.readChineseSpan_PROTO3#,"(1, 3)",0.005330234196249471,3,2085.200537238976,2074.085930029347,4672.43184707378
zipkin#zipkin2.codec.ProtoCodecBenchmarks.bytebuffer_protobufDecoder#,"(3, 1)",0.00571521215216026,3,2907981.395348838,2891361.6647398844,2995721.197604791
zipkin#zipkin2.codec.CodecBenchmarks.writeChineseSpan_PROTO3#,"(5, 1)",0.00981858785396959,5,2605.147222408363,2129.156756202584,2732.943078656153
zipkin#zipkin2.codec.CodecBenchmarks.writeClientSpan_JSON_V2#,"(1, 21)",0.0087068838276692,21,1593.0319058352115,1583.0822900687813,1726.7989872412252
zipkin#zipkin2.elasticsearch.internal.BulkRequestBenchmarks.writeRequest_singleSpan#,"(5, 100)",0.025651514501705604,500,12239.616247975235,12173.885631733963,12318.989771361114
zipkin#zipkin2.codec.ProtoCodecBenchmarks.bytes_wireDecoder#,"(5, 1)",0.008556113769972638,5,3353029.5838926174,3195763.3226837064,3634611.6654545455
zipkin#zipkin2.internal.ReadBufferBenchmarks.readLong_8arity_localArray#,"(1, 14)",0.009485702476058747,14,34.998803733212284,34.82938359944592,37.82675621847552
zipkin#zipkin2.internal.WriteBufferBenchmarks.varIntSizeInBytes_64#,"(1, 38)",0.008968278639287246,38,33.34755296678989,33.13103183736096,33.57457194066278
zipkin#zipkin2.codec.CodecBenchmarks.writeChineseSpan_THRIFT#,"(3, 1)",0.008484191540236934,3,4382.3934087417965,4345.212343657359,4648.336136403178
zipkin#zipkin2.collector.MetricsBenchmarks.incrementBytes_longSpans_inMemory#,"(3, 1)",0.009717256766540455,3,85.0167220066408,80.02250351617441,85.84285132382892
zipkin#zipkin2.SpanBenchmarks.padLeft_17Chars#,"(5, 100)",0.02676726015978671,500,70.2862530184637,69.92052131958981,70.94820448366293
zipkin#zipkin2.internal.WriteBufferBenchmarks.varIntSizeInBytes_32#,"(1, 16)",0.009562012339592635,16,33.659184616278715,33.366588419362984,34.34034972915985
zipkin#zipkin2.elasticsearch.internal.BulkRequestBenchmarks.buildAndWriteRequest_tenSpans#,"(3, 1)",0.0004442072782110758,3,180750.10327272728,180669.81276131613,198997.6622284513
zipkin#zipkin2.codec.CodecBenchmarks.writeClientSpan_JSON_V1#,"(4, 1)",0.008807288272435555,4,7347.8311083268145,7027.7699301018765,7425.1506644905585
zipkin#zipkin2.codec.JsonCodecBenchmarks.bytes_zipkinDecoder#,"(1, 14)",0.009897361247904498,14,6463778.6838709675,6405787.447983015,7537069.150440505
zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_zipkinDecoder#,"(4, 1)",0.007028313109683393,4,11814550.588235296,10900257.391304348,11978069.333333332
zipkin#zipkin2.EndpointBenchmarks.parseIpv4_literal#,"(1, 25)",0.008772906482541332,25,295.1970295924065,293.8263830368734,298.83892962820016
zipkin#zipkin2.codec.CodecBenchmarks.readClientSpan_PROTO3#,"(5, 100)",0.035730272184654056,500,1747.9428138903309,1732.4527522464814,1760.0107898507968
zipkin#zipkin2.codec.CodecBenchmarks.readClientSpan_JSON_V1#,"(5, 100)",0.02496331290751177,500,15770.918655099988,15667.408286914688,15850.88395925764
zipkin#zipkin2.codec.ProtoCodecBenchmarks.bytebuffer_wireDecoder#,"(1, 48)",0.009798774497649558,48,2132247.4712153524,2120945.3248407645,2166930.285714285
zipkin#zipkin2.collector.MetricsBenchmarks.incrementBytes_shortSpans_inMemory#,"(1, 3)",0.0012705312406444016,3,47.752112436839205,47.69144188618144,76.750745853057
zipkin#zipkin2.SpanBenchmarks.padLeft_15Chars#,"(5, 100)",0.025798353280596837,500,68.20294798592009,67.76956128055524,68.52688128977118
zipkin#zipkin2.codec.CodecBenchmarks.writeClientSpan_THRIFT#,"(4, 1)",0.007467207623763574,4,4243.151876705424,4151.883056119,4296.889049391633
zipkin#zipkin2.internal.DelayLimiterBenchmarks.shouldInvoke_sameData#,"(1, 7)",0.005749092072030594,7,76.19310658095777,75.13963165918175,195.5579113157257
zipkin#zipkin2.EndpointBenchmarks.parseIpv4_addr#,"(5, 100)",0.22359522249297137,500,186.9799607028724,171.37627214648052,191.70573517338445
