Project,Statistic,p-Value
laaber_byte-buddy,0.1924417435269352,0.9998618371569695
laaber_jctools,0.08497023364091412,0.9999876195724282
laaber_jenetics,0.09368670792234186,0.9999834593430289
laaber_jmh-core-benchmarks,0.17680390746077004,0.9998922284997692
laaber_jmh-jdk-microbenchmarks,0.5823627564384833,0.9966871841739849
laaber_log4j2,0.0279104310210176,0.999903527173725
laaber_protostuff,0.10502776498878252,0.9999767946144582
laaber_rxjava,0.011001572127577883,0.9999999723731392
laaber_squidlib,0.056525756309967846,0.9999963161781965
laaber_zipkin,0.082890143710987,0.999988497772972
