Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
byte-buddy#net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkJdkProxy#,"(5, 50)",0.016681822547177535,250,112720.80375083722,111888.40549291056,113813.6422300764
byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyAndReusedDelegator#,"(5, 50)",0.018058660901591174,250,5294892.698412698,5283430.4,5469969.976564503
byte-buddy#net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithAccessor#,"(5, 50)",0.03768904853933478,250,31.714148416735792,30.82174023654529,32.52570940928595
byte-buddy#net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkJavassist#,"(5, 50)",0.040301548106093855,250,15.530810092890011,15.45028600575655,15.58149787520099
byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessorAndReusedDelegator#,"(5, 50)",0.02959726884304924,250,2250180.036036036,2220805.910894309,2340518.6697892267
byte-buddy#net.bytebuddy.benchmark.TrivialClassCreationBenchmark.baseline#,"(5, 50)",0.011849872421225963,250,33.780346954790986,33.61915384615386,33.947844400396434
byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkCglib#,"(3, 37)",0.009991477850107634,111,1608045.4790996783,1603140.9230769232,1613529.5379644588
byte-buddy#net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkCglib#,"(1, 3)",0.006611030335518824,3,5.7958918486681,5.782217782217783,5.820534599050713
byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkJavassist#,"(5, 50)",0.01404704857462914,250,821285.863599014,807413.2471728596,830356.088770764
byte-buddy#net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkJavassist#,"(5, 50)",0.03924529351952345,250,237667.93938990572,231856.8467966574,244449.11964766332
byte-buddy#net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkCglib#,"(5, 50)",0.03484960184166987,250,29.774293681517555,29.310706978685747,30.26076054784654
byte-buddy#net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddySpecialized#,"(1, 3)",0.0073614532220352595,3,7.167739117775512,7.12681699862537,7.179581974848626
byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline#,"(5, 50)",0.08526993096982943,250,37.23571034103418,36.96719606730952,37.48005761450335
byte-buddy#net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkCglib#,"(5, 50)",0.0918401050248493,250,895113.4891415162,799619.6512305771,958051.2712365
byte-buddy#net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkByteBuddy#,"(1, 3)",0.005663946627141625,3,5.059071729957806,5.050676549168318,5.07933086142968
byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyWithTypePool#,"(5, 50)",0.019838809032569637,250,6098594.341463415,6083155.409454547,6175587.099901537
byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized#,"(5, 50)",0.026000544665721874,250,752884.8192771084,748073.7724550898,769858.8083140879
byte-buddy#net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkJavassist#,"(1, 3)",0.005026653852790522,3,34.49259244059589,34.454638794201,34.62802111688526
byte-buddy#net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkByteBuddy#,"(5, 50)",0.029281050323863248,250,641584.8481997324,633125.2503814723,649170.2826250813
byte-buddy#net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithPrefix#,"(5, 50)",0.09432229206434409,250,7.195124545337317,7.171461683589841,7.218408678541455
byte-buddy#net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkJdkProxy#,"(5, 50)",0.028589926684848995,250,12.076054960422184,12.034823525113776,12.116885769816728
byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyAndReusedDelegatorWithTypePool#,"(5, 50)",0.014056048072389945,250,6089262.545454546,6065629.866666667,6144804.122699387
byte-buddy#net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkJavassist#,"(5, 50)",0.15149586279406232,250,1388416.6548198676,1348504.3562753038,1432813.6618911177
byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessorWithTypePool#,"(5, 50)",0.028598919609180998,250,3456049.434482759,3439056.4948453605,3488715.0160278743
byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixWithTypePool#,"(5, 50)",0.01798813227832063,250,982483.7406679764,978317.7067710373,987435.2142152024
byte-buddy#net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkCglib#,"(5, 50)",0.024513284718223047,250,1150739.4063837347,1138834.9521640092,1171216.3124610481
byte-buddy#net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkJdkProxy#,"(5, 50)",0.01753969027546277,250,1194426.8769414579,1179365.1441580716,1202997.2948255115
byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefix#,"(5, 50)",0.023171069031176134,250,868997.3547931856,863731.1668107176,884658.3505968796
byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessorAndReusedDelegatorWithTypePool#,"(5, 50)",0.033534418937071736,250,3660506.525066175,3475413.333333333,3846198.714737401
byte-buddy#net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkByteBuddy#,"(5, 50)",0.015492407438699203,250,155148.21408674883,153769.28056350426,156848.38328369812
byte-buddy#net.bytebuddy.benchmark.SuperClassInvocationBenchmark.baseline#,"(5, 50)",0.0827925632087313,250,7.260974227628458,7.164113885955139,7.977530796228751
byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixAndReusedDelegatorWithTypePool#,"(5, 50)",0.019109236423362427,250,956607.571291866,953803.2366412212,963519.8766859344
byte-buddy#net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkByteBuddyWithTypePool#,"(5, 50)",0.02951980565188712,250,853358.8035313012,846905.9274444238,861812.5241379311
byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxy#,"(5, 50)",0.015623483080233558,250,5318220.255319149,5281835.115789475,5342558.229787233
byte-buddy#net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithProxy#,"(5, 50)",0.05297239648725282,250,7.264293218198916,7.237188222230161,7.30163324104828
byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixAndReusedDelegator#,"(5, 50)",0.027190420394187592,250,861073.3092161929,856185.5373454943,887754.3445825933
byte-buddy#net.bytebuddy.benchmark.ClassByImplementationBenchmark.baseline#,"(5, 50)",0.13926611499190208,250,37.062721232718985,36.773353960857634,37.59639693440828
byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessor#,"(5, 50)",0.025698721061758655,250,2289809.281464531,2277734.7965375856,2310352.1108545037
byte-buddy#net.bytebuddy.benchmark.StubInvocationBenchmark.baseline#,"(3, 3)",0.009428516807882746,9,5.05257723087514,5.045644224564423,5.059565310953304
