Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
jenetics#io.jenetics.util.ThreadIDPerf.getThreadId#,"(5, 50)",0.012516073572592826,250,37.147975155334606,36.948339242193306,37.42286493245197
jenetics#io.jenetics.util.SeqPerf.array_set#,"(5, 50)",0.53889618182226,250,0.010122884225006174,0.007786212020003433,0.013244973143007023
jenetics#io.jenetics.internal.util.IndexSorterPerf.insertionSort160#,"(5, 50)",0.01389447259620153,250,16723.73244961668,16604.803468150614,16841.72325555205
jenetics#io.jenetics.util.SeqPerf.arrayList_contains#,"(1, 3)",0.0001041135184394898,3,554.0264374191163,553.9883527454243,554.0460343871325
jenetics#io.jenetics.util.SeqPerf.array_forLoop#,"(5, 50)",0.24311421115704981,250,0.005187769638438621,0.004576611566183622,0.005838175956721325
jenetics#io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf80#,"(5, 50)",0.05174238533236277,250,55.62805290803143,54.21963108827657,57.064181824223695
jenetics#io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf20#,"(5, 50)",0.014685313977668908,250,44.835848248554484,44.518309218863905,45.16394823215766
jenetics#io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf10#,"(5, 46)",0.009802374024172795,230,41.25392474738035,41.04861739429538,41.47138337022968
jenetics#io.jenetics.util.SeqPerf.array_get#,"(5, 50)",0.3657276077033025,250,0.005745006812693104,0.004741831732825064,0.006874695970476052
jenetics#io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf40#,"(5, 50)",0.04535644935043017,250,50.482937066590544,49.36105113752673,51.61433028513387
jenetics#io.jenetics.util.SeqPerf.arrayList_forLoop#,"(3, 1)",0.002849146555428226,3,1.0060208480788588,1.005033499982995,1.007899800816988
jenetics#io.jenetics.util.SeqPerf.mseq_set#,"(5, 50)",0.6322833717365277,250,0.008565020058222446,0.006269771848081959,0.011657936315755525
jenetics#io.jenetics.util.SeqPerf.mseq_contains#,"(1, 3)",0.006863189760851472,3,718.4722213301981,716.8278335724534,721.758844765343
jenetics#io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf160#,"(5, 50)",0.05203074562780603,250,60.3562676858573,58.84111685190084,61.900578819775596
jenetics#io.jenetics.internal.util.IndexSorterPerf.heapSort250#,"(5, 11)",0.009896413021954743,55,20141.525098199527,20040.835790347537,20238.564381155662
jenetics#io.jenetics.util.SeqPerf.arrayList_set#,"(5, 50)",0.5578491847030039,250,0.00918473926249845,0.0070345591316740685,0.012269645839787508
jenetics#io.jenetics.internal.util.IndexSorterPerf.insertionSort250#,"(5, 50)",0.01443044788756284,250,37692.53268486071,37418.37239333544,37959.34510774194
jenetics#io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf40#,"(5, 50)",0.01217270598941099,250,50.13927876731328,49.84775798798164,50.43030923117626
jenetics#io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf250#,"(3, 1)",0.008571092817169168,3,129.61923567762608,129.1813587326271,130.29233723251056
jenetics#io.jenetics.util.SeqPerf.arrayList_forEachLoop#,"(1, 3)",0.004035527738866119,3,1.006932110866886,1.0044345898004434,1.0084980922650018
jenetics#io.jenetics.internal.util.IndexSorterPerf.heapSort160#,"(3, 41)",0.00986754370727224,123,10848.2606627464,10794.333508918808,10901.793018499884
jenetics#io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf15#,"(5, 50)",0.01588748106271229,250,42.91297342184465,42.60506168642967,43.3049687729331
jenetics#io.jenetics.internal.util.IndexSorterPerf.insertionSort320#,"(5, 50)",0.013091208865871425,250,60502.43172489697,60116.99888778731,60895.6179878384
jenetics#io.jenetics.internal.util.IndexSorterPerf.insertionSort80#,"(5, 50)",0.02058848356057076,250,4540.795885433143,4493.384874203949,4589.170040197781
