Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
jmh-jdk-microbenchmarks#org.openjdk.bench.vm.compiler.InnerClassNullRef.refIsNull#,"(3, 1)",0.004135230514057913,3,30.524727536933888,30.4068732346144,30.71357729138167
jmh-jdk-microbenchmarks#org.openjdk.bench.java.util.stream.tasks.PrimesFilter.t100.Bulk.bulk_seq_inner#,"(3, 1)",0.0,3,1037041664.0,1037041664.0,1037041664.0
jmh-jdk-microbenchmarks#org.openjdk.bench.java.util.stream.ops.ref.AllMatch.par_invoke#size=100000,"(5, 50)",0.03075980447084739,250,204840.92343781728,203806.8182003673,205929.63586498267
jmh-jdk-microbenchmarks#org.openjdk.bench.java.util.stream.ops.ref.Filter.seq_chain_123#size=100000,"(1, 3)",0.0017473343711981789,3,1117288.1162011172,1115353.142857143,1120109.0582959645
jmh-jdk-microbenchmarks#org.openjdk.bench.vm.lambda.chain.ChainAnonymCap4.call4#,"(5, 50)",0.1444098982639185,250,36.48814471488626,36.31074132933626,36.73161721487354
jmh-jdk-microbenchmarks#org.openjdk.bench.java.lang.invoke.MethodHandleConvertReturnReference.test_1_Convert#,"(1, 3)",0.0041715491201597685,3,39.24290079553238,39.2199009431477,39.57902226907367
jmh-jdk-microbenchmarks#org.openjdk.bench.javax.crypto.full.KeyPairGeneratorBench.generateKeyPair#algorithm=DiffieHellman&keyLength=2048,"(1, 3)",0.002806556409488184,3,5464825.005464482,5447947.130434782,5485461.68306011
jmh-jdk-microbenchmarks#org.openjdk.bench.java.lang.StringIndexOf.advancedWithShortSub1#,"(1, 3)",0.002553416859682759,3,945.5337821805672,942.8333235172862,948.7410441337964
jmh-jdk-microbenchmarks#org.openjdk.bench.java.nio.ByteBuffers.testSinglePutShort#size=1000,"(1, 3)",0.006876715487948928,3,560.9337948789314,556.025338894682,565.4694104947944
jmh-jdk-microbenchmarks#org.openjdk.bench.java.lang.StringUpperLower.upperToUpper#,"(1, 3)",0.004482275166925597,3,122.29488255033556,121.6651910531221,123.00735396788455
jmh-jdk-microbenchmarks#org.openjdk.bench.java.lang.ArrayCopyAligned.testInt#length=5,"(3, 1)",0.009178032776854748,3,38.48147688488984,38.3342296488364,39.14956827630317
jmh-jdk-microbenchmarks#org.openjdk.bench.javax.crypto.full.SignatureBench.verify#algorithm=SHA256withDSA&dataSize=1024&keyLength=1024,"(1, 3)",0.00011959471359276523,3,523988.25995807134,523950.42348008393,524098.1814368118
