Benchmark,Time Saved,Average Difference,CI Upper Difference,CI Lower Difference
jmh-jdk-microbenchmarks#org.openjdk.bench.vm.compiler.InnerClassNullRef.refIsNull#,247,-0.00010921843861222229,0.0020077520652575552,-0.0024819698284073793
jmh-jdk-microbenchmarks#org.openjdk.bench.java.util.stream.tasks.PrimesFilter.t100.Bulk.bulk_seq_inner#,247,-0.3787688442211056,-0.3750000000000001,-0.3787688442211056
jmh-jdk-microbenchmarks#org.openjdk.bench.java.util.stream.ops.ref.AllMatch.par_invoke#size=100000,231,-0.0028970953325945462,-0.0010463315469497539,-0.012704536010262543
jmh-jdk-microbenchmarks#org.openjdk.bench.java.util.stream.ops.ref.Filter.seq_chain_123#size=100000,247,-0.0032406980019329037,-0.004460069729844812,-0.004062561984033189
jmh-jdk-microbenchmarks#org.openjdk.bench.vm.lambda.chain.ChainAnonymCap4.call4#,247,-0.005485647661060437,0.03953882571052932,-0.0007454956523402785
jmh-jdk-microbenchmarks#org.openjdk.bench.java.lang.invoke.MethodHandleConvertReturnReference.test_1_Convert#,247,0.056768383169155966,0.058706572130424975,0.06037508808046209
jmh-jdk-microbenchmarks#org.openjdk.bench.javax.crypto.full.KeyPairGeneratorBench.generateKeyPair#algorithm=DiffieHellman&keyLength=2048,247,-0.0009329579677882646,0.0021180896303563553,-0.0033293008922111434
jmh-jdk-microbenchmarks#org.openjdk.bench.java.lang.StringIndexOf.advancedWithShortSub1#,247,-0.007967958877650826,-0.008756412616039886,-0.008532574677003794
jmh-jdk-microbenchmarks#org.openjdk.bench.java.nio.ByteBuffers.testSinglePutShort#size=1000,247,-0.01535226562190533,-0.01307894597878401,-0.016374783372519006
jmh-jdk-microbenchmarks#org.openjdk.bench.java.lang.StringUpperLower.upperToUpper#,247,0.0026742556194327347,-0.000169349092675466,-0.05976461027298935
jmh-jdk-microbenchmarks#org.openjdk.bench.java.lang.ArrayCopyAligned.testInt#length=5,247,-0.004472428443235078,0.013264821676478196,-0.0037291078443451686
jmh-jdk-microbenchmarks#org.openjdk.bench.javax.crypto.full.SignatureBench.verify#algorithm=SHA256withDSA&dataSize=1024&keyLength=1024,247,-0.00016323653847234715,-0.0024640139763292203,-8.706558752959743e-06
jmh-jdk-microbenchmarks#org.openjdk.bench.vm.lang.Throw.throwWith32Frames#,247,-0.007819072190624535,-0.010365745344876094,-0.017815615314854122
jmh-jdk-microbenchmarks#org.openjdk.bench.java.lang.invoke.LookupDefaultFind.testStaticGetter#,247,0.14826392170439387,0.06006835122815442,0.14523442209229964
jmh-jdk-microbenchmarks#org.openjdk.bench.java.nio.ByteBuffers.testDirectSinglePutByte#size=100000,247,0.1558512666221834,0.0590412229468156,0.006485434082123636
jmh-jdk-microbenchmarks#org.openjdk.bench.vm.lambda.invoke.Function0.mrefL_L#,244,-0.019569134045458715,0.043336724872396676,-0.017833700430846925
jmh-jdk-microbenchmarks#org.openjdk.bench.java.lang.invoke.MethodHandleConvertReturnPrimitive.test_3_Call#,247,-0.004559670779433844,-0.008072197591129324,-0.02484435887333647
jmh-jdk-microbenchmarks#org.openjdk.bench.vm.lambda.invoke.Function0.mref_bndL_I#,247,-0.0004183882526470881,0.01722078649197269,0.0029297198195934954
jmh-jdk-microbenchmarks#org.openjdk.bench.java.nio.ByteBuffers.testDirectSingleGetFloat#size=10,0,0.0,0.0,0.0
jmh-jdk-microbenchmarks#org.openjdk.bench.java.lang.invoke.MethodTypeDropParams.testDrop_A1#,247,0.12834906469440271,0.11577394311391061,0.1326072849792191
jmh-jdk-microbenchmarks#org.openjdk.bench.java.util.stream.tasks.IntegerDuplicate.Bulk.bulk_seq_inner#,247,-0.025423728813559324,-0.013636363636363488,-0.02431011826544006
jmh-jdk-microbenchmarks#org.openjdk.bench.java.security.MessageDigests.digest#digesterName=SHA-256&length=16384&provider=DEFAULT,247,0.00018531549795905599,0.0004849510993281153,0.0001883403728215012
jmh-jdk-microbenchmarks#org.openjdk.bench.java.util.stream.ops.ref.Sorted.par_chain#size=100000,247,0.0017650155833349086,0.005797759368163749,-0.004202623659833772
jmh-jdk-microbenchmarks#org.openjdk.bench.java.lang.ArrayCopyUnalignedBoth.testLong#length=3,247,0.010655523641181025,0.010526136135244299,-0.014941938189662829
jmh-jdk-microbenchmarks#org.openjdk.bench.java.io.FileWrite.test#fileSize=1000000,247,0.07066795322577883,0.0729952961984888,0.07057588021849359
jmh-jdk-microbenchmarks#org.openjdk.bench.java.util.ZipFind.testOneNonExisting#,247,-0.0061210886363508125,-0.015343346859212344,-0.015011141332096117
jmh-jdk-microbenchmarks#org.openjdk.bench.java.lang.invoke.MethodHandlesCatchException.testExceptional#,247,-0.028611411969383188,-0.0514965979917488,-0.02234738883696278
jmh-jdk-microbenchmarks#org.openjdk.bench.vm.compiler.InterfaceCalls.testSingle#,247,0.004245588206977247,0.07482133790368602,0.005072436990773633
jmh-jdk-microbenchmarks#org.openjdk.bench.vm.lambda.invoke.Function1.mrefLL_IL#,247,-0.00011950281590201925,-0.00021552805277430808,-0.0005764835788097981
jmh-jdk-microbenchmarks#org.openjdk.bench.java.security.MessageDigests.digest#digesterName=SHA-256&length=64&provider=DEFAULT,247,0.001198572538894049,0.032900931714667896,0.0011012299101901054
jmh-jdk-microbenchmarks#org.openjdk.bench.java.lang.invoke.MethodTypeAcquire.testReturnVoid#,247,-0.00864519451064394,-0.011039907407233741,-0.01596047804425728
jmh-jdk-microbenchmarks#org.openjdk.bench.java.lang.invoke.MethodTypeChangeParam.baselineRaw#,247,-0.0008555584279238829,-0.005527688294691338,-0.004141700141315169
jmh-jdk-microbenchmarks#org.openjdk.bench.java.util.concurrent.ForkJoinPoolThresholdStatic.test#size=10000000&threshold=10&workers=0,247,0.0005780676257700916,-0.008062156626897625,-0.015754914052457172
jmh-jdk-microbenchmarks#org.openjdk.bench.java.math.BigDecimals.testCompareTo#,247,-0.0015299159547181608,0.2759421998702087,-0.0028030892502426113
jmh-jdk-microbenchmarks#org.openjdk.bench.java.util.stream.NoneMatcher.seq_anyMatch#size=100000,247,-2.3547527100072682e-05,0.00022572912811723235,1.023916645120414e-06
jmh-jdk-microbenchmarks#org.openjdk.bench.java.security.MessageDigests.digest#digesterName=SHA-384&length=1024&provider=SUN,247,0.0009780154910471212,0.005817414276331316,-0.0002100854962374004
jmh-jdk-microbenchmarks#org.openjdk.bench.java.util.stream.ops.value.AnyMatch.seq_chain111#size=100000,247,0.31854928708541297,0.20726477495447754,0.3187802361294837
jmh-jdk-microbenchmarks#org.openjdk.bench.java.math.BigDecimals.testAdd#,247,0.010228583464805497,0.02750307780020215,0.007150822568549385
jmh-jdk-microbenchmarks#org.openjdk.bench.java.util.stream.ops.value.AllMatch.seq_chain123#size=100000,247,-0.3907937796411902,-0.12688090753486386,-0.36501891128078223
jmh-jdk-microbenchmarks#org.openjdk.bench.java.util.stream.ops.value.NoneMatchShort.par_mid#offset=100&size=100000,0,0.0,0.0,0.0
jmh-jdk-microbenchmarks#org.openjdk.bench.vm.lambda.chain.ChainAnonymCap0.call4#,247,-0.003002967331218569,0.00538757695275436,-0.0020884374735770294
jmh-jdk-microbenchmarks#org.openjdk.bench.java.util.stream.ops.value.Filter.seq_invoke#size=100000,247,-0.00017147882117710312,-0.0001000463338782577,-0.00014560537213175888
jmh-jdk-microbenchmarks#org.openjdk.bench.java.lang.invoke.MethodHandlesCatchException.baselineNormal#,247,0.01874066165732161,0.022278302951045017,0.020776603438316055
jmh-jdk-microbenchmarks#org.openjdk.bench.java.util.stream.ops.ref.NoneMatchShort.seq_end#offset=100&size=100000,247,0.007959770636784106,0.023948746576265407,0.008251993896605065
jmh-jdk-microbenchmarks#org.openjdk.bench.java.lang.StringBuilders.toStringCharWithChar2#,246,0.005119945639487083,0.20918513595822452,-0.0003004209758009657
jmh-jdk-microbenchmarks#org.openjdk.bench.java.lang.invoke.MethodHandleAsVarargsCollector.baselineMH#,247,-0.022211996848723947,0.0015208336973427288,-0.01861042473799379
jmh-jdk-microbenchmarks#org.openjdk.bench.java.lang.ArrayCopyAligned.testChar#length=600,247,-0.0010325520770072124,-0.002087443790587145,0.0014142758429371758
jmh-jdk-microbenchmarks#org.openjdk.bench.java.util.stream.ops.ref.SortedUnique.seq_invoke#size=100000,247,-0.04790982239743677,-0.04496648587845191,-0.03151395612712872
jmh-jdk-microbenchmarks#org.openjdk.bench.java.security.MessageDigests.digest#digesterName=SHA-384&length=64&provider=SUN,247,0.0077260657048835715,0.024180502546928842,0.008974112910555207
jmh-jdk-microbenchmarks#org.openjdk.bench.java.io.FileRead.test#fileSize=1000000,247,0.007806858560989047,0.07510858151579998,0.006466535862124446
jmh-jdk-microbenchmarks#org.openjdk.bench.java.util.stream.ops.value.Map.par_invoke#size=100000,247,0.016373875249641342,0.01357728594144636,0.020359022643121328
jmh-jdk-microbenchmarks#org.openjdk.bench.vm.lang.LockUnlock.testRecursiveSynchronization#innerCount=100,247,-0.0030706421241760993,0.006041612076438139,-0.0020956446395082504
jmh-jdk-microbenchmarks#org.openjdk.bench.java.util.stream.ops.ref.Limit.par_limitHalf#size=100000,247,0.013076203463787647,0.017186445862508955,-0.02170408241913139
jmh-jdk-microbenchmarks#org.openjdk.bench.vm.lambda.capture.Capture0.inner_this_4#,247,0.009086182268616792,0.010996476298285526,-0.007956163961430524
jmh-jdk-microbenchmarks#org.openjdk.bench.java.nio.ByteBuffers.testBulkGet#size=100000,242,0.007728393461420827,0.05406971610626572,-0.0010932454789934595
jmh-jdk-microbenchmarks#org.openjdk.bench.java.util.concurrent.ForkJoinPoolThresholdAutoQueued.test#size=10000000&threshold=8&workers=0,247,0.00981033355134059,0.01011183067958636,0.01323810921814549
jmh-jdk-microbenchmarks#org.openjdk.bench.java.lang.invoke.MethodTypeAppendParams.baselineRaw#,247,-0.01758740184960497,-0.009978013372257273,-0.007453375765276176
jmh-jdk-microbenchmarks#org.openjdk.bench.javax.crypto.full.SignatureBench.verify#algorithm=SHA256withDSA&dataSize=16384&keyLength=1024,247,-0.0037578244092360317,0.001607056688376914,-0.0009212830244977505
jmh-jdk-microbenchmarks#org.openjdk.bench.java.util.stream.pipeline.PipelineParMultiple.bulk_into_named#size=100000,247,-0.0023609788851282915,-0.0011624239008298347,-0.0016347840179067662
jmh-jdk-microbenchmarks#org.openjdk.bench.java.util.stream.pipeline.PipelineParMultiple.bulk_foreach_named#size=100000,0,0.0,0.0,0.0
jmh-jdk-microbenchmarks#org.openjdk.bench.java.lang.invoke.MethodHandleConvertUnboxing.test_2_MTConvert#,246,0.019607153253165966,0.018406605339952673,0.002176630260831167
jmh-jdk-microbenchmarks#org.openjdk.bench.java.lang.invoke.MethodTypeGenerify.testUnwrap#,247,-0.014300582709314228,-0.007252679435391049,-0.012369632145447635
jmh-jdk-microbenchmarks#org.openjdk.bench.java.util.stream.pipeline.Terminal.seq_iterator#size=100000,247,-0.007841133543007897,-0.016843327249197144,-0.003595859160912644
jmh-jdk-microbenchmarks#org.openjdk.bench.java.lang.ArrayCopyUnalignedBoth.testInt#length=300,247,0.009448015622953512,0.01583328954089559,-0.028988976779832473
jmh-jdk-microbenchmarks#org.openjdk.bench.java.lang.ArrayCopyUnalignedDst.testInt#length=70,247,-0.018649927204853933,-0.007712947008460389,-0.01598789312203782
jmh-jdk-microbenchmarks#org.openjdk.bench.java.util.stream.ops.value.AnyMatch.par_chain123#size=100000,247,-0.0005407627010249176,0.006136485371420391,-0.0005634376952237399
jmh-jdk-microbenchmarks#org.openjdk.bench.vm.compiler.Multiplication.testLongBigVariableSmallConstantMul#arraySize=500,247,-0.018470772851700398,-0.022002624627214168,-0.0146204959513426
jmh-jdk-microbenchmarks#org.openjdk.bench.vm.lambda.invoke.Function1.mrefIL_II#,247,-0.009109948888442042,-0.010775129547380982,-0.013030890155591848
