Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer#stringLength=1000,"(5, 50)",0.01290959669800078,250,1702.4246345926392,1691.325660555026,1714.0505754609035
protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer#stringLength=1000,"(5, 50)",0.014634364166464447,250,1692.4103914900718,1681.2417164534677,1705.8391414189548
protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer#stringLength=100000,"(5, 50)",0.009331474355305753,250,164026.60964492653,163238.68500583968,164837.86739679612
protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer#stringLength=100000,"(5, 50)",0.011320566022430744,250,166628.45097945494,165754.67664724504,167683.26839863678
protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=1000,"(5, 50)",0.022036336133360285,250,1308.3953118393092,1296.3433401487061,1324.5303593038323
protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer#stringLength=10000,"(5, 50)",0.004674966989176564,250,16875.179389757046,16836.815832939217,16920.727709314055
protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_serialize_1_int_field#,"(5, 50)",0.009968324554821202,250,35.94380200486328,35.776217487510564,36.13642576746161
protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer#stringLength=10000,"(5, 50)",0.005468021419983009,250,16787.231362492523,16747.48795860618,16838.542518734248
protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_serialize_10_int_field#,"(5, 50)",0.02700258705496806,250,60.000324252216664,59.206587861889886,60.841082202601555
protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_deserialize_1_int_field#,"(5, 50)",0.0633059170099634,250,49.68777561953641,49.073714094321396,52.16647050159061
protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_serialize_1_int_field#,"(5, 50)",0.07556573750553999,250,62.42375528864849,60.61662449055909,65.34961950530817
protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.baseline#,"(5, 50)",0.009325894364774679,250,29.89854233975402,29.778511315972395,30.049853282117486
protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer#stringLength=10,"(5, 50)",0.10945775392753931,250,97.81513894684558,94.62552150495429,105.40382474793745
protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000,"(5, 50)",0.013388529332856254,250,11133.28925077004,11076.182139032582,11218.52315521739
protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_deserialize_10_int_field#,"(5, 50)",0.06555008884874428,250,142.3812076847193,138.60038355136916,148.2796981463029
protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer#stringLength=10,"(5, 50)",0.044707791737727674,250,83.41593821688966,82.39136899265782,85.93663285645297
protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer#stringLength=1,"(5, 50)",0.06183669532094859,250,90.83831803094368,88.76328259428651,94.20621147942134
protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer#stringLength=1,"(5, 50)",0.09212525583603333,250,82.96364477626737,81.99327758137821,85.21946470225026
protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=100000,"(5, 50)",0.009462098329830469,250,108917.92780998668,108489.04075280948,109486.10352366873
protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_serialize_10_int_fields#,"(5, 50)",0.057895245839865224,250,153.13086795614888,150.6926859734713,160.14859965223906
protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=100,"(5, 50)",0.1321652015453216,250,186.92982629525994,180.71164404313896,204.8535033499334
protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_deserialize_10_int_field#,"(5, 50)",0.048013669126909984,250,103.93896514877186,102.18554968055207,107.1486487619718
protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_deserialize_10_int_field#,"(5, 50)",0.06368448582974783,250,200.5721185486837,196.001173122873,208.50855818163606
protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_deserialize_1_int_field#,"(5, 50)",0.1679029398568899,250,46.63708759717454,45.601913015237194,53.53532485059962
protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_deserialize_1_int_field#,"(5, 50)",0.0852602037475528,250,58.21264314535303,56.81381678504631,61.781322099438874
protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=1,"(5, 50)",0.06360091098958198,250,91.93284403397736,89.81157668552379,95.5698479557455
protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer#stringLength=100,"(5, 50)",0.058247994749520825,250,176.0226920005679,172.27405944109762,182.45299739185592
protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer#stringLength=100,"(5, 50)",0.03838415334786851,250,172.1313547231508,169.3998686158791,176.19556195056046
protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_serialize_10_int_fields#,"(5, 50)",0.06024261783641545,250,131.93237493799808,129.08752239454117,136.6154147294454
protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10,"(5, 50)",0.08591749950253226,250,98.84278291896489,95.8875561492456,104.47454066769409
protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_serialize_1_int_field#,"(5, 50)",0.08916039243036895,250,59.876997125257624,58.10880073982457,63.35573956776839
