Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000,"(5, 50)",0.013388529332856254,250,11133.28925077004,11076.182139032582,11218.52315521739
protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_serialize_10_int_fields#,"(5, 50)",0.057895245839865224,250,153.13086795614888,150.6926859734713,160.14859965223906
protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer#stringLength=10,"(5, 50)",0.10945775392753931,250,97.81513894684558,94.62552150495429,105.40382474793745
protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_serialize_1_int_field#,"(5, 49)",0.009997293312923242,245,35.950438337307766,35.78351043199378,36.141099131385594
protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer#stringLength=100000,"(5, 50)",0.011320566022430744,250,166628.45097945494,165754.67664724504,167683.26839863678
protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.baseline#,"(5, 45)",0.009865103915054881,225,29.885339739572615,29.75714523800532,30.04673766039441
protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_serialize_1_int_field#,"(5, 50)",0.08916039243036895,250,59.876997125257624,58.10880073982457,63.35573956776839
protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=1000,"(5, 50)",0.022036336133360285,250,1308.3953118393092,1296.3433401487061,1324.5303593038323
protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer#stringLength=10000,"(1, 37)",0.009949283282779062,37,16846.59094286929,16773.333927151376,16944.21238246385
protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_deserialize_1_int_field#,"(5, 50)",0.1679029398568899,250,46.63708759717454,45.601913015237194,53.53532485059962
protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_deserialize_10_int_field#,"(5, 50)",0.06368448582974783,250,200.5721185486837,196.001173122873,208.50855818163606
protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer#stringLength=100000,"(1, 5)",0.00673769582606795,5,157974.0320539884,157471.29192123204,158452.05748085908
protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=1,"(1, 22)",0.009942090450742833,22,90.7506655797177,90.45454143701232,91.36696677926321
protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer#stringLength=1000,"(5, 50)",0.014634364166464447,250,1692.4103914900718,1681.2417164534677,1705.8391414189548
protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_deserialize_1_int_field#,"(5, 50)",0.0852602037475528,250,58.21264314535303,56.81381678504631,61.781322099438874
protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_deserialize_1_int_field#,"(5, 50)",0.0633059170099634,250,49.68777561953641,49.073714094321396,52.16647050159061
protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer#stringLength=100,"(5, 50)",0.058247994749520825,250,176.0226920005679,172.27405944109762,182.45299739185592
protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_deserialize_10_int_field#,"(5, 50)",0.06555008884874428,250,142.3812076847193,138.60038355136916,148.2796981463029
protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_serialize_1_int_field#,"(5, 50)",0.07556573750553999,250,62.42375528864849,60.61662449055909,65.34961950530817
protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer#stringLength=1,"(5, 50)",0.06183669532094859,250,90.83831803094368,88.76328259428651,94.20621147942134
protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=100000,"(3, 6)",0.009782057480242443,18,107820.3275920677,107423.75867614492,108494.43502000121
protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10,"(5, 50)",0.08591749950253226,250,98.84278291896489,95.8875561492456,104.47454066769409
protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_serialize_10_int_fields#,"(5, 50)",0.06024261783641545,250,131.93237493799808,129.08752239454117,136.6154147294454
protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=100,"(5, 50)",0.1321652015453216,250,186.92982629525994,180.71164404313896,204.8535033499334
protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer#stringLength=1,"(1, 14)",0.009308236865543678,14,80.93495472084969,80.60372186075419,81.37243554620882
protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer#stringLength=10000,"(1, 40)",0.0097711085414566,40,16712.45873276027,16636.65829445885,16802.407623154133
protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer#stringLength=1000,"(5, 50)",0.01290959669800078,250,1702.4246345926392,1691.325660555026,1714.0505754609035
protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer#stringLength=10,"(1, 24)",0.009437079643141905,24,80.78316589396722,80.47146585370837,81.25395048879616
protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer#stringLength=100,"(1, 25)",0.009902755481785614,25,166.43188694219052,165.7230067504036,167.3639917583583
protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_serialize_10_int_field#,"(5, 50)",0.02700258705496806,250,60.000324252216664,59.206587861889886,60.841082202601555
protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_deserialize_10_int_field#,"(5, 50)",0.048013669126909984,250,103.93896514877186,102.18554968055207,107.1486487619718
