Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000,"(1, 3)",0.0039556018870786774,3,11391.700230474622,10851.05612552806,11685.041913375915
protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_serialize_10_int_fields#,"(1, 3)",0.0026586646191514374,3,229.35023863166154,152.8980329311212,381.8470618018417
protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer#stringLength=10,"(1, 3)",0.00609574763700642,3,96.2796191259727,94.88060080657964,97.27381027818262
protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_serialize_1_int_field#,"(1, 3)",0.00616342968332426,3,36.35337320843041,36.08055113937467,36.60188987503864
protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer#stringLength=100000,"(2, 2)",0.00379534641090887,4,172382.46947832505,170552.2752444388,175292.8474263944
protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.baseline#,"(3, 1)",0.006853031983184103,3,30.623237520524114,29.549694856146477,32.56642049598833
protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_serialize_1_int_field#,"(1, 8)",0.007634924583009788,8,67.87825258697261,57.39284481755335,97.26569971032899
protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=1000,"(5, 50)",0.04504565004644838,250,1308.3953118393092,1294.9908731606574,1323.2598551253461
protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer#stringLength=10000,"(3, 1)",0.0015298337689300034,3,16741.75292795617,16703.296587233483,16793.073190082647
protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_deserialize_1_int_field#,"(1, 5)",0.006220508257245781,5,60.59785631390846,45.82328507213203,102.89933139478171
protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_deserialize_10_int_field#,"(1, 6)",0.006679458881952154,6,213.1726640683719,185.61798904451322,254.48866988720502
protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer#stringLength=100000,"(1, 3)",0.0006678522072264602,3,158137.85133797707,157963.41555977231,158381.1561756778
protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=1,"(1, 3)",0.0001321195916991604,3,90.47403841429112,90.00630894723429,90.71389489756966
protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer#stringLength=1000,"(1, 3)",0.005258835600314511,3,1687.5673034202848,1641.429558480986,1715.1223570558002
protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_deserialize_1_int_field#,"(1, 4)",0.005251111806477539,4,56.617112524765886,55.457624041777045,58.55958193111459
protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_deserialize_1_int_field#,"(1, 3)",0.0023182489233813225,3,47.59804677464533,47.24873673906717,48.186877994839655
protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer#stringLength=100,"(1, 3)",0.0008239702324711615,3,165.7909952068168,165.28063717057728,166.114554605626
protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_deserialize_10_int_field#,"(3, 1)",0.00364415865613063,3,140.24965237692922,132.4753038405445,155.31382273225304
protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_serialize_1_int_field#,"(1, 3)",0.00014753352357228146,3,59.023489406933,56.10308745640098,64.85601500049343
protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer#stringLength=1,"(1, 3)",0.0026668924411364955,3,86.55796352345943,85.1488940837979,89.14841223559351
