Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
rxjava#io.reactivex.XMapYPerf.flowFlatMapCompletable0#times=10000,"(5, 50)",0.012960693815753193,250,898922.9781347151,897114.1351426517,900891.7447711753
rxjava#io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=10000&maxConcurrency=32&work=100,"(5, 50)",0.028365585191241955,250,24568779.723390717,24453495.06604355,24679684.526585083
rxjava#io.reactivex.XMapYPerf.flowFlatMapIterable1#times=1000,"(5, 50)",0.017156394178189892,250,19547.14298829279,19493.686054735666,19603.54507399634
rxjava#io.reactivex.XMapYPerf.obsFlatMapMaybe0#times=1000,"(5, 50)",0.009838431098572641,250,106056.67464029603,105890.06027649701,106231.27757376792
rxjava#io.reactivex.XMapYPerf.flowFlatMapFlowable1#times=10000,"(5, 50)",0.006101624246831071,250,228518.9850184325,228298.45384561288,228751.06638597065
rxjava#io.reactivex.FlattenCrossMapPerf.observable#times=1000,"(5, 50)",0.023218923695220613,250,8154353.842756335,8122510.016274705,8183491.766569799
rxjava#io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=100&maxConcurrency=1&work=100,"(5, 50)",0.06455449257147337,250,5840979.151697055,5776273.828152809,5898924.101475962
rxjava#io.reactivex.xmapz.ObservableConcatMapMaybeEmptyPerf.observablePlain#count=100,"(5, 50)",0.009161139169000408,250,3881.7718766883445,3876.65576500136,3888.2202100986915
rxjava#io.reactivex.xmapz.FlowableSwitchMapMaybePerf.flowableConvert#count=1000000,"(5, 50)",0.031610832458739,250,132885521.55428572,132238117.34381714,133589744.44690286
rxjava#io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=10000&maxConcurrency=8&work=1000,"(5, 50)",0.04888834356212071,250,27028873.050517347,26825666.523033053,27248469.047339845
rxjava#io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=10&maxConcurrency=8&work=1000,"(5, 50)",0.05672721722707607,250,39144.83740186079,38782.887597246525,39512.86525525841
rxjava#io.reactivex.xmapz.ObservableSwitchMapSinglePerf.observablePlain#count=100,"(5, 50)",0.01350155156833561,250,8175.461196941547,8157.942055950944,8194.191500495723
rxjava#io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=1&maxConcurrency=8&work=100,"(5, 50)",0.08580417176697504,250,50824.4182725875,50082.87601564135,51527.013188763674
rxjava#io.reactivex.BlockingPerf.flowableBlockingLast#times=1,"(5, 50)",0.11599776275067415,250,76.352804685934,75.07275307020876,77.92556458888235
rxjava#io.reactivex.xmapz.ObservableFlatMapSinglePerf.observableConvert#count=10,"(5, 50)",0.029087010425827366,250,1886.6552487200101,1877.773160991882,1895.869127585955
rxjava#io.reactivex.XMapYPerf.obsFlatMapMaybeAsObs1#times=10000,"(5, 50)",0.011796544054879315,250,1762688.033291328,1759444.6890232693,1766169.5824344933
rxjava#io.reactivex.FlowableFlatMapCompletableSyncPerf.flatMap#items=1000000&maxConcurrency=32,"(5, 50)",0.06752044684930836,250,133461779.60228573,132052658.60900572,135038697.56562287
rxjava#io.reactivex.xmapz.FlowableConcatMapSinglePerf.flowableDedicated#count=100000,"(5, 50)",0.006038259874828711,250,9498047.395783296,9488995.41845422,9507395.520987723
rxjava#io.reactivex.xmapz.ObservableFlatMapCompletablePerf.observablePlain#count=100000,"(5, 50)",0.002063869828652447,250,344758.94249304367,344650.1882164137,344883.4666210023
rxjava#io.reactivex.xmapz.ObservableConcatMapCompletablePerf.observableConvert#count=1,"(5, 50)",0.18240335926860635,250,95.0550215456159,92.50054683163418,98.12228808243869
rxjava#io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=100000&maxConcurrency=1&work=10,"(5, 50)",0.0362565165734232,250,5962488348.672,5924638446.059521,5995573186.396159
rxjava#io.reactivex.BinaryFlatMapPerf.maybeFlatMapHideObservable#times=1000,"(5, 50)",0.004432360097139764,250,11063.706626882578,11056.60413241162,11072.532236319701
rxjava#io.reactivex.XMapYPerf.flowFlatMapCompletable0#times=1000000,"(5, 50)",0.01104541189501986,250,92335743.72072728,92170512.27229092,92497734.8707297
rxjava#io.reactivex.ReducePerf.obsSingle#times=1,"(5, 50)",0.2076462228041533,250,65.78713051782898,63.83895329599344,68.31136893462764
rxjava#io.reactivex.ReducePerf.flowSingle#times=1,"(5, 50)",0.26998220512955456,250,64.61071327656785,62.154045928833476,67.82995273208947
rxjava#io.reactivex.xmapz.FlowableConcatMapMaybeEmptyPerf.flowablePlain#count=10,"(5, 50)",0.12456363411616206,250,242.5817697288698,238.00141033965025,247.89830409555444
rxjava#io.reactivex.XMapYPerf.obsFlatMapMaybe0#times=10,"(5, 50)",0.04401794186514892,250,1261.8398015637931,1252.9564248118418,1270.9261877485098
rxjava#io.reactivex.xmapz.ObservableSwitchMapMaybePerf.observablePlain#count=1000,"(5, 50)",0.007703109409738251,250,80046.38773001498,79953.65340940634,80155.26018233785
rxjava#io.reactivex.BlockingPerf.flowableBlockingLast#times=1000,"(5, 50)",0.023839595404637124,250,1493.2392960272712,1488.1006802057725,1499.624207116575
rxjava#io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=1&maxConcurrency=32&work=100,"(5, 50)",0.14017027474367214,250,49887.152343835,48664.23504961,50954.07195429488
rxjava#io.reactivex.FlowableFlatMapCompletableSyncPerf.flatMapCompletable#items=10&maxConcurrency=1,"(5, 50)",0.047357025640654166,250,1244.5843810517038,1235.0479456069188,1254.430977776981
rxjava#io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=1000&maxConcurrency=8&work=100,"(5, 50)",0.019596921323831454,250,2481651.6842130707,2473628.3639895236,2489320.0677698613
rxjava#io.reactivex.parallel.ParallelPerf.flatMap#compute=1000&count=10000&parallelism=4,"(5, 50)",0.5560347637505182,250,77359920.86826806,70612941.88166153,84472562.45449077
rxjava#io.reactivex.xmapz.FlowableSwitchMapMaybePerf.flowableDedicated#count=1000,"(5, 50)",0.007345104533242964,250,62538.0037373981,62469.66392359649,62617.02818706831
rxjava#io.reactivex.xmapz.ObservableConcatMapMaybePerf.observablePlain#count=1000000,"(5, 50)",0.022455603214260798,250,63614969.31789804,63392802.414752625,63850851.0705142
rxjava#io.reactivex.parallel.ParallelPerf.flatMap#compute=100&count=10000&parallelism=3,"(5, 50)",0.08436434231366897,250,229104650.37653333,225693795.89870933,231932546.514944
rxjava#io.reactivex.xmapz.FlowableFlatMapCompletablePerf.flowableConvert#count=1000,"(5, 50)",0.00913656554437271,250,146936.75311104688,146738.07277795408,147167.80036137288
rxjava#io.reactivex.BlockingGetPerf.flowableBlockingFirst#,"(5, 50)",0.14466729930410374,250,73.49677335898267,71.99967863892674,75.37038836766838
rxjava#io.reactivex.XMapYPerf.flowFlatMapMaybe1#times=1000000,"(5, 50)",0.017854640192866394,250,112647313.81760001,112339201.00306489,112989226.19790223
rxjava#io.reactivex.xmapz.FlowableFlatMapCompletablePerf.flowableConvert#count=10000,"(5, 50)",0.008925347689039595,250,1468110.7052253333,1466105.6914029487,1470428.932800866
rxjava#io.reactivex.xmapz.FlowableConcatMapMaybePerf.flowableDedicated#count=10,"(5, 50)",0.060424599311703,250,1307.482437374459,1295.0023158077024,1320.5048119113128
rxjava#io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=1000&maxConcurrency=256&work=100,"(5, 50)",0.04241125757807483,250,2474525.811405829,2457727.002672433,2492100.111211751
rxjava#io.reactivex.StrictPerf.internal#count=100000&cpu=1,"(5, 50)",0.005288360990303438,250,887188.5334820097,886543.8928374036,888053.3202102383
rxjava#io.reactivex.xmapz.ObservableFlatMapCompletablePerf.observableDedicated#count=1000,"(5, 50)",0.011175640348177357,250,90120.72098077109,89963.50491273857,90290.40146948487
rxjava#io.reactivex.StrictPerf.external#count=10000&cpu=10,"(5, 50)",0.008343015306519529,250,353143.77592523716,352538.0929389627,353493.70210441994
rxjava#io.reactivex.parallel.ParallelPerf.flatMap#compute=1&count=10000&parallelism=1,"(5, 50)",0.04019079299903877,250,580557733.888,576773744.6673067,584206780.1156267
rxjava#io.reactivex.BinaryFlatMapPerf.completableFlatMapPublisher#times=1000000,"(5, 50)",0.0024006744849797775,250,10643458.535575366,10639468.635387126,10647898.071691327
rxjava#io.reactivex.FlowableFlatMapCompletableSyncPerf.flatMap#items=100&maxConcurrency=1,"(5, 50)",0.055983601273867784,250,13766.895780976336,13644.066277081998,13898.192571364716
rxjava#io.reactivex.xmapz.FlowableFlatMapSinglePerf.flowablePlain#count=10,"(5, 50)",0.05076943992910362,250,449.3516904705547,445.8445661799493,453.1876044323414
rxjava#io.reactivex.FlowableFlatMapCompletableSyncPerf.flatMapCompletable#items=1&maxConcurrency=256,"(5, 50)",0.19163579681905557,250,225.2378918391099,219.1697944016692,233.26520860601377
rxjava#io.reactivex.xmapz.ObservableSwitchMapCompletablePerf.observablePlain#count=100000,"(5, 50)",0.007540767926105599,250,7710473.468856645,7701621.984252736,7720521.24880139
rxjava#io.reactivex.xmapz.FlowableConcatMapMaybePerf.flowableConvert#count=100,"(5, 50)",0.012436526846661735,250,12844.538032302455,12819.006656206504,12870.809610251004
rxjava#io.reactivex.BlockingPerf.observableBlockingLast#times=1000000,"(5, 50)",0.08573938077755776,250,1799574.7266553333,1774843.9442471033,1824903.9962112936
rxjava#io.reactivex.xmapz.FlowableConcatMapCompletablePerf.flowablePlain#count=1000000,"(5, 50)",0.008798246902457571,250,7132700.557124034,7122505.051014236,7142486.004000777
rxjava#io.reactivex.parallel.ParallelPerf.parallel#compute=1000&count=10000&parallelism=2,"(5, 50)",0.12021519954764759,250,23240909.319927324,22779975.638736606,23685033.0212822
rxjava#io.reactivex.xmapz.FlowableConcatMapSinglePerf.flowablePlain#count=10000,"(5, 50)",0.00244350574768324,250,189067.28758095115,188994.7344442833,189144.37126977203
rxjava#io.reactivex.xmapz.FlowableFlatMapMaybeEmptyPerf.flowableDedicated#count=100,"(5, 50)",0.011748366088170164,250,10995.165113839392,10973.954941193022,11016.451013680211
rxjava#io.reactivex.xmapz.FlowableConcatMapMaybeEmptyPerf.flowableDedicated#count=1000000,"(5, 50)",0.0037591397202355057,250,76183016.00914285,76137499.8888088,76231587.92192002
rxjava#io.reactivex.XMapYPerf.obsFlatMapSingle1#times=10,"(5, 50)",0.04748948260894654,250,1318.3067543071886,1308.3349157887083,1328.7139144347702
rxjava#io.reactivex.xmapz.FlowableSwitchMapCompletablePerf.flowableConvert#count=1,"(5, 50)",0.1098608048667577,250,93.92759160554886,92.56130443643706,95.8408182130307
