Benchmark,Time Saved,Average Difference,CI Upper Difference,CI Lower Difference
rxjava#io.reactivex.XMapYPerf.flowFlatMapFlowable1#times=10000,247,0.011586615946575108,0.01084465459240202,0.012277530188215506
rxjava#io.reactivex.XMapYPerf.obsFlatMapMaybe0#times=1000,247,0.01493705260029158,0.01516062020157441,0.015501640450728155
rxjava#io.reactivex.XMapYPerf.flowFlatMapCompletable0#times=10000,247,0.01724471516529457,0.018587868254848386,0.016497241625353886
rxjava#io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=10000&maxConcurrency=32&work=100,247,0.02414506091845421,0.03314124508090278,0.019782536286209736
rxjava#io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=100&maxConcurrency=1&work=100,0,0.0,0.0,0.0
rxjava#io.reactivex.FlattenCrossMapPerf.observable#times=1000,247,0.014311905320294815,0.016195919707574804,0.015391917014351369
rxjava#io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=10000&maxConcurrency=8&work=1000,0,0.0,0.0,0.0
rxjava#io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=10&maxConcurrency=8&work=1000,0,0.0,0.0,0.0
rxjava#io.reactivex.xmapz.ObservableSwitchMapSinglePerf.observablePlain#count=100,247,0.001757322745760231,0.004807893399226798,-0.0013950876414848313
rxjava#io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=1&maxConcurrency=8&work=100,0,0.0,0.0,0.0
rxjava#io.reactivex.BlockingPerf.flowableBlockingLast#times=1,246,-0.027305234530139222,-0.03574578566543518,-0.018351950767400947
rxjava#io.reactivex.XMapYPerf.flowFlatMapIterable1#times=1000,247,0.01595383313323812,0.016912803568928114,0.014903319020271588
rxjava#io.reactivex.xmapz.ObservableConcatMapCompletablePerf.observableConvert#count=1,247,-0.05220842436578811,-0.07571126483686524,-0.02952892602940736
rxjava#io.reactivex.XMapYPerf.obsFlatMapMaybeAsObs1#times=10000,247,0.0065482858434584065,0.01697755827479599,-0.0010455408370074947
rxjava#io.reactivex.FlowableFlatMapCompletableSyncPerf.flatMap#items=1000000&maxConcurrency=32,247,-0.03685232543935613,-0.04684578331739842,-0.02752588737927787
rxjava#io.reactivex.xmapz.ObservableFlatMapCompletablePerf.observablePlain#count=100000,247,-0.0008815316076509663,-0.0010312620815852854,-0.0008051807387135411
rxjava#io.reactivex.xmapz.FlowableConcatMapSinglePerf.flowableDedicated#count=100000,247,-0.00512781193704772,-0.0057591921040062175,-0.004613131586809032
rxjava#io.reactivex.xmapz.FlowableConcatMapMaybeEmptyPerf.flowablePlain#count=10,247,-0.047289246393863886,-0.06301647662468358,-0.035468486628506414
rxjava#io.reactivex.BinaryFlatMapPerf.maybeFlatMapHideObservable#times=1000,247,-0.0011293592751362136,-0.0004455900396853471,-0.001701572403342665
rxjava#io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=100000&maxConcurrency=1&work=10,247,0.015310792964764069,0.01297273891682631,0.019437357230983898
rxjava#io.reactivex.XMapYPerf.flowFlatMapCompletable0#times=1000000,247,-0.0021237669358928337,-0.003699585020587864,-0.000679644496243826
rxjava#io.reactivex.ReducePerf.obsSingle#times=1,0,0.0,0.0,0.0
rxjava#io.reactivex.XMapYPerf.obsFlatMapMaybe0#times=10,0,0.0,0.0,0.0
rxjava#io.reactivex.ReducePerf.flowSingle#times=1,247,-0.06934006068278718,-0.10752653879365634,-0.0359361228460393
rxjava#io.reactivex.FlowableFlatMapCompletableSyncPerf.flatMapCompletable#items=10&maxConcurrency=1,247,-0.046552382727519555,-0.05301131516912549,-0.040500040149418
rxjava#io.reactivex.xmapz.ObservableConcatMapMaybeEmptyPerf.observablePlain#count=100,247,-0.004024462379108489,-0.005411846287381072,-0.0031375783909826853
rxjava#io.reactivex.parallel.ParallelPerf.flatMap#compute=1000&count=10000&parallelism=4,0,0.0,0.0,0.0
rxjava#io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=1000&maxConcurrency=8&work=100,247,-0.021126219327060797,-0.015803444878419,-0.03144477418871422
rxjava#io.reactivex.parallel.ParallelPerf.flatMap#compute=100&count=10000&parallelism=3,0,0.0,0.0,0.0
rxjava#io.reactivex.xmapz.ObservableConcatMapMaybePerf.observablePlain#count=1000000,0,0.0,0.0,0.0
rxjava#io.reactivex.XMapYPerf.flowFlatMapMaybe1#times=1000000,247,-0.012925505785664064,-0.013192805320730477,-0.012344337423470296
rxjava#io.reactivex.xmapz.FlowableConcatMapMaybePerf.flowableDedicated#count=10,0,0.0,0.0,0.0
rxjava#io.reactivex.xmapz.FlowableFlatMapCompletablePerf.flowableConvert#count=10000,247,-0.003832222206231513,-0.004244250259214528,-0.004093349257843472
rxjava#io.reactivex.BlockingGetPerf.flowableBlockingFirst#,247,-0.04026411713836371,-0.05961720009851085,-0.024385303954665573
rxjava#io.reactivex.xmapz.FlowableFlatMapCompletablePerf.flowableConvert#count=1000,247,-0.0028747495647112064,-0.003928464152604788,-0.0024406446247846993
rxjava#io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=1000&maxConcurrency=256&work=100,247,0.006029419268358897,0.010843235273534495,0.004392539929168409
rxjava#io.reactivex.xmapz.ObservableFlatMapCompletablePerf.observableDedicated#count=1000,247,-0.016094107833712873,-0.014869377857125173,-0.0195868549630999
rxjava#io.reactivex.parallel.ParallelPerf.flatMap#compute=1&count=10000&parallelism=1,0,0.0,0.0,0.0
rxjava#io.reactivex.BinaryFlatMapPerf.completableFlatMapPublisher#times=1000000,247,-5.0731067657670617e-05,-0.00039671673436952523,0.00028057339602361906
rxjava#io.reactivex.FlowableFlatMapCompletableSyncPerf.flatMapCompletable#items=1&maxConcurrency=256,246,-0.04561987422954905,-0.0739265403275865,-0.02755607355339701
rxjava#io.reactivex.StrictPerf.external#count=10000&cpu=10,247,-0.001636704577398625,-0.0022231916405201424,-0.00023686341382851675
rxjava#io.reactivex.xmapz.FlowableSwitchMapMaybePerf.flowableConvert#count=1000000,0,0.0,0.0,0.0
