Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
rxjava#io.reactivex.XMapYPerf.flowFlatMapFlowable1#times=10000,"(1, 6)",0.0014436432260111686,6,231155.56601064457,231066.85645945827,231375.78151898502
rxjava#io.reactivex.XMapYPerf.obsFlatMapMaybe0#times=1000,"(1, 9)",0.007996066898152871,9,107625.51937135632,107467.50371154911,108362.47518577486
rxjava#io.reactivex.XMapYPerf.flowFlatMapCompletable0#times=10000,"(1, 24)",0.009548677563242444,24,893249.8009939835,891221.5926036058,900289.4519866236
rxjava#io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=10000&maxConcurrency=32&work=100,"(5, 44)",0.009923655737255564,220,24601824.12938732,24473486.6248465,24722627.59260372
rxjava#io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=100&maxConcurrency=1&work=100,"(5, 50)",0.021534383481201798,250,5840979.151697055,5771690.8073170455,5896401.635724209
rxjava#io.reactivex.FlattenCrossMapPerf.observable#times=1000,"(1, 30)",0.009599016074102337,30,8247925.2372605475,8185947.069611785,8265220.960354848
rxjava#io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=10000&maxConcurrency=8&work=1000,"(5, 50)",0.015745567184738556,250,27028873.050517347,26824385.276709028,27267469.121588394
rxjava#io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=10&maxConcurrency=8&work=1000,"(5, 50)",0.018833674868447354,250,39144.83740186079,38770.548108563264,39504.63545296604
rxjava#io.reactivex.xmapz.ObservableSwitchMapSinglePerf.observablePlain#count=100,"(5, 4)",0.00849136973998722,20,8171.700091622924,8128.327165426754,8196.566341246136
rxjava#io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=1&maxConcurrency=8&work=100,"(5, 50)",0.02806380778726476,250,50824.4182725875,50065.49884353876,51501.99612665941
rxjava#io.reactivex.BlockingPerf.flowableBlockingLast#times=1,"(5, 50)",0.049472690153404233,250,76.352804685934,75.19526493209594,79.02703942527464
rxjava#io.reactivex.XMapYPerf.flowFlatMapIterable1#times=1000,"(3, 20)",0.009622819359983782,60,19551.525311246707,19476.73746784092,19669.67963147656
rxjava#io.reactivex.xmapz.ObservableConcatMapCompletablePerf.observableConvert#count=1,"(5, 50)",0.06488603743794412,250,95.0550215456159,92.65704475304639,98.79729209353683
rxjava#io.reactivex.XMapYPerf.obsFlatMapMaybeAsObs1#times=10000,"(2, 10)",0.009140910384507176,20,1755520.4587448672,1750397.4047802193,1767174.5475808966
rxjava#io.reactivex.FlowableFlatMapCompletableSyncPerf.flatMap#items=1000000&maxConcurrency=32,"(4, 2)",0.008750506947794662,8,128372736.0,127881786.52002333,128962507.63977928
rxjava#io.reactivex.xmapz.ObservableFlatMapCompletablePerf.observablePlain#count=100000,"(1, 5)",0.002199105141656923,5,344470.2249225832,343829.5147677196,344587.0410104946
rxjava#io.reactivex.xmapz.FlowableConcatMapSinglePerf.flowableDedicated#count=100000,"(1, 6)",0.004110398122181689,6,9442877.18238994,9415616.512525242,9455114.312702319
rxjava#io.reactivex.xmapz.FlowableConcatMapMaybeEmptyPerf.flowablePlain#count=10,"(5, 50)",0.043030840382802284,250,242.5817697288698,238.09382382742442,248.6663326423616
rxjava#io.reactivex.BinaryFlatMapPerf.maybeFlatMapHideObservable#times=1000,"(2, 3)",0.0033473453570777804,6,11053.377618719927,11031.404787518759,11066.640749650658
rxjava#io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=100000&maxConcurrency=1&work=10,"(5, 50)",0.012099011320533065,250,5962488348.672,5921101847.222196,5993996494.244145
rxjava#io.reactivex.XMapYPerf.flowFlatMapCompletable0#times=1000000,"(1, 6)",0.0012941550553610107,6,92157517.57575758,92114305.00464861,92227219.87562406
rxjava#io.reactivex.ReducePerf.obsSingle#times=1,"(5, 50)",0.08614123549625227,250,65.78713051782898,64.01061311229512,69.6972357144188
rxjava#io.reactivex.XMapYPerf.obsFlatMapMaybe0#times=10,"(5, 50)",0.014594220780937953,250,1261.8398015637931,1253.3359887358845,1271.5426340832216
rxjava#io.reactivex.ReducePerf.flowSingle#times=1,"(5, 50)",0.10609062788605922,250,64.61071327656785,62.320589203924015,69.56948997608816
rxjava#io.reactivex.FlowableFlatMapCompletableSyncPerf.flatMapCompletable#items=10&maxConcurrency=1,"(1, 5)",0.009184005282792918,5,1187.668308117886,1184.5289309074453,1195.4364829234057
rxjava#io.reactivex.xmapz.ObservableConcatMapMaybeEmptyPerf.observablePlain#count=100,"(1, 5)",0.004841329625229434,5,3866.057051458179,3858.2343665559633,3876.951223092015
rxjava#io.reactivex.parallel.ParallelPerf.flatMap#compute=1000&count=10000&parallelism=4,"(5, 50)",0.18725590610100037,250,77359920.86826806,70783492.30005567,85048698.05315053
rxjava#io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=1000&maxConcurrency=8&work=100,"(4, 31)",0.009679834141598703,124,2485412.070091163,2473192.6325173215,2497408.2962333406
rxjava#io.reactivex.parallel.ParallelPerf.flatMap#compute=100&count=10000&parallelism=3,"(5, 50)",0.028529541419552985,250,229104650.37653333,225246064.6465123,231827592.5598177
rxjava#io.reactivex.xmapz.ObservableConcatMapMaybePerf.observablePlain#count=1000000,"(3, 49)",0.009757322503769983,147,63932614.59890623,63657672.57506226,64269477.41141988
rxjava#io.reactivex.XMapYPerf.flowFlatMapMaybe1#times=1000000,"(1, 38)",0.009408527667343486,38,111787016.38362573,111411696.669069,112495247.0187076
rxjava#io.reactivex.xmapz.FlowableConcatMapMaybePerf.flowableDedicated#count=10,"(5, 50)",0.01991687855509206,250,1307.482437374459,1294.6363313055854,1319.9615490830265
rxjava#io.reactivex.xmapz.FlowableFlatMapCompletablePerf.flowableConvert#count=10000,"(2, 6)",0.009940024857858215,12,1466292.6039858006,1461508.3809886253,1475964.753792581
rxjava#io.reactivex.BlockingGetPerf.flowableBlockingFirst#,"(5, 50)",0.055721104278563284,250,73.49677335898267,72.02345370516979,76.00363784113739
rxjava#io.reactivex.xmapz.FlowableFlatMapCompletablePerf.flowableConvert#count=1000,"(2, 3)",0.0024153586792405894,6,146544.86083012525,146370.2253105279,146739.1599843184
rxjava#io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=1000&maxConcurrency=256&work=100,"(5, 50)",0.0139332478277925,250,2474525.811405829,2456944.1712259063,2491792.499517445
rxjava#io.reactivex.xmapz.ObservableFlatMapCompletablePerf.observableDedicated#count=1000,"(1, 19)",0.009374301965746486,19,88554.71109446589,88334.3968155308,89175.32998920519
rxjava#io.reactivex.parallel.ParallelPerf.flatMap#compute=1&count=10000&parallelism=1,"(5, 50)",0.01299029329913018,250,580557733.888,576639389.1053442,584145192.9662865
rxjava#io.reactivex.BinaryFlatMapPerf.completableFlatMapPublisher#times=1000000,"(1, 6)",0.005017893692095344,6,10646724.085106382,10641203.246332668,10693416.623976726
rxjava#io.reactivex.FlowableFlatMapCompletableSyncPerf.flatMapCompletable#items=1&maxConcurrency=256,"(5, 50)",0.0685889303946505,250,225.2378918391099,219.53168692449387,235.058345642879
rxjava#io.reactivex.StrictPerf.external#count=10000&cpu=10,"(3, 2)",0.0011849658716428567,6,352512.38442709536,352368.3338590412,352765.1765330237
