Benchmark,Time Saved,Average Difference,CI Upper Difference,CI Lower Difference
squidlib#squidpony.performance.DataStructureBenchmark.insertIntegerSquidOS#NEED_TO_ENLARGE=2&SIZE=65536,0,0.0,0.0,0.0
squidlib#squidpony.performance.DataStructureBenchmark.insertStringSquidDefaultOS2#NEED_TO_ENLARGE=2&SIZE=65536,216,-0.01146630327895368,-0.011992937579673051,-0.011964905484361027
squidlib#squidpony.performance.DijkstraBenchmark.doPathGDXAStar#,235,-0.0031483717155889267,-0.0017809234044240264,-0.007242571226972171
squidlib#squidpony.performance.WaypointBenchmark.countWaypoint#,235,0.004559055128504806,0.008863573066473503,0.0038599740905131707
squidlib#squidpony.performance.RNGBenchmark.measureThreadLocal#,0,0.0,0.0,0.0
squidlib#squidpony.performance.DataStructureBenchmark.insertIntegerSquidMildOS#NEED_TO_ENLARGE=0&SIZE=65536,0,0.0,0.0,0.0
squidlib#squidpony.performance.HashBenchmark.doWisp64#,0,0.0,0.0,0.0
squidlib#squidpony.performance.DataStructureBenchmark.insertStringSquidMildOS#NEED_TO_ENLARGE=2&SIZE=65536,200,-0.04070180827823912,-0.04027764026590362,-0.041428624251976624
squidlib#squidpony.performance.NoiseBenchmark.measureEasySimplex4D#,0,0.0,0.0,0.0
squidlib#squidpony.performance.CoordPackerBenchmark.doUnionG#,242,0.004864102886689093,0.008032465931805259,0.0014046565375372046
squidlib#squidpony.performance.DataStructureBenchmark.insertIntegerLinkedHashMap#NEED_TO_ENLARGE=1&SIZE=65536,0,0.0,0.0,0.0
squidlib#squidpony.performance.DataStructureBenchmark.insertStringSquidDefaultOM2#NEED_TO_ENLARGE=0&SIZE=65536,242,-0.06351842265638351,-0.06560908253960508,-0.060126931399716234
squidlib#squidpony.performance.DataStructureBenchmark.insertStringSquidMildOS#NEED_TO_ENLARGE=0&SIZE=65536,209,0.0047344139713555895,0.0071782431586523065,0.0025569081718497732
squidlib#squidpony.performance.DataStructureBenchmark.insertStringSquidDefaultOM3#NEED_TO_ENLARGE=0&SIZE=65536,0,0.0,0.0,0.0
squidlib#squidpony.performance.DataStructureBenchmark.insertIntegerSquidPrimitiveOM3#NEED_TO_ENLARGE=2&SIZE=65536,154,-0.00508838235440812,-0.006417005110984362,-0.00558945057962457
squidlib#squidpony.performance.CoordPackerBenchmark.doPack#,209,-0.059012147800438765,-0.07584264850636552,-0.04105019969251173
squidlib#squidpony.performance.HashBenchmark.doLongJDK32#,0,0.0,0.0,0.0
squidlib#squidpony.performance.DataStructureBenchmark.insertIntegerSquidPrimitiveOM2#NEED_TO_ENLARGE=2&SIZE=65536,193,0.005568894573927385,0.008475969804914867,0.0055704817442792055
squidlib#squidpony.performance.DataStructureBenchmark.insertStringGdxOS2#NEED_TO_ENLARGE=0&SIZE=65536,245,-0.07242232287359965,-0.07734077373242344,-0.06727500965926225
squidlib#squidpony.performance.CoordPackerBenchmark.doSurfaceG#,75,-0.0013613858167039353,-0.0006675611105299824,-0.0019558447984681458
squidlib#squidpony.performance.NoiseBenchmark.measureEasySimplex2D#,0,0.0,0.0,0.0
squidlib#squidpony.performance.DataStructureBenchmark.insertIntegerSquidDefaultOS2#NEED_TO_ENLARGE=0&SIZE=65536,0,0.0,0.0,0.0
squidlib#squidpony.performance.DataStructureBenchmark.insertStringLinkedHashSet#NEED_TO_ENLARGE=1&SIZE=65536,0,0.0,0.0,0.0
squidlib#squidpony.performance.HashBenchmark.BenchmarkState.measureHastyPointHash2D#,0,0.0,0.0,0.0
squidlib#squidpony.performance.DataStructureBenchmark.insertStringLinkedHashMap#NEED_TO_ENLARGE=0&SIZE=65536,0,0.0,0.0,0.0
squidlib#squidpony.performance.RNGBenchmark.measureLathe32Int#,238,-0.03123533962681769,-0.032352036423572136,-0.03066360952689102
squidlib#squidpony.performance.DataStructureBenchmark.insertStringLinkedHashMap#NEED_TO_ENLARGE=1&SIZE=65536,170,-0.015016726516221924,-0.019838024800623633,-0.010816750262724405
squidlib#squidpony.performance.DataStructureBenchmark.insertIntegerSquidDefaultOS3#NEED_TO_ENLARGE=0&SIZE=65536,0,0.0,0.0,0.0
squidlib#squidpony.performance.DijkstraBenchmark.doTinyPathCustomDijkstra#,245,0.07490667449640036,0.06801831244963329,0.0799526558809602
squidlib#squidpony.performance.HashBenchmark.doMist32#,0,0.0,0.0,0.0
squidlib#squidpony.performance.DataStructureBenchmark.insertStringLinkedHashSet#NEED_TO_ENLARGE=0&SIZE=65536,241,-0.08028568392805298,-0.08599955812999666,-0.07470936155761249
squidlib#squidpony.performance.DataStructureBenchmark.insertIntegerSquidDefaultOS2#NEED_TO_ENLARGE=1&SIZE=65536,0,0.0,0.0,0.0
squidlib#squidpony.performance.DataStructureBenchmark.insertStringSquidMildOM#NEED_TO_ENLARGE=0&SIZE=65536,0,0.0,0.0,0.0
squidlib#squidpony.performance.CoordPackerBenchmark.doSurface#,216,-0.019414712578936493,-0.0154521285794773,-0.019827889658233427
squidlib#squidpony.performance.DataStructureBenchmark.insertIntegerSquidMildOM2#NEED_TO_ENLARGE=0&SIZE=65536,0,0.0,0.0,0.0
squidlib#squidpony.performance.WaypointBenchmark.measurePath2#,235,-0.011943901089777777,-0.009818898588040836,-0.011793917054669279
squidlib#squidpony.performance.HashBenchmark.doCharWater32#,0,0.0,0.0,0.0
squidlib#squidpony.performance.RNGBenchmark.measureXoRoR#,0,0.0,0.0,0.0
squidlib#squidpony.performance.HashBenchmark.doWater32#,0,0.0,0.0,0.0
squidlib#squidpony.performance.DataStructureBenchmark.insertStringGdxOS#NEED_TO_ENLARGE=0&SIZE=65536,219,0.03866844060653252,0.03584371505247278,0.039213040115370634
squidlib#squidpony.performance.DataStructureBenchmark.insertIntegerGdxOS2#NEED_TO_ENLARGE=0&SIZE=65536,214,-0.004115027772106322,-0.004121907808574149,-0.005038299084123291
squidlib#squidpony.performance.DataStructureBenchmark.insertStringSquidDefaultOS2#NEED_TO_ENLARGE=1&SIZE=65536,0,0.0,0.0,0.0
squidlib#squidpony.performance.HashBenchmark.doWater64#,0,0.0,0.0,0.0
squidlib#squidpony.performance.HashBenchmark.BenchmarkState.measureHastyPointHash6D#,245,-0.02271051371108251,-0.02906679349839328,-0.021027090299449908
squidlib#squidpony.performance.DijkstraBenchmark.doScanCustomDijkstra#,219,-0.01549895950018055,-0.015424018270058616,-0.012749871866265406
squidlib#squidpony.performance.NoiseBenchmark.measureFastNoise2D#,0,0.0,0.0,0.0
squidlib#squidpony.performance.RNGBenchmark.measureLap#,165,-0.005336250800898325,-0.0033462441258646928,-0.005674308602182692
squidlib#squidpony.performance.MathBenchmark.measureApproxAtan2Float#,206,0.0032783720895587765,0.005559923579857351,0.0020918895212678457
squidlib#squidpony.performance.DataStructureBenchmark.insertStringSquidDefaultOS3#NEED_TO_ENLARGE=0&SIZE=65536,182,-0.0010663633252400223,0.0018053177661331414,-0.0029098055968301137
squidlib#squidpony.performance.RNGBenchmark.measureMathUtils#,0,0.0,0.0,0.0
squidlib#squidpony.performance.RNGBenchmark.measureJDKInt#,100,-0.0004106721309605633,-0.0011126511110471147,-0.0006321526134355149
squidlib#squidpony.performance.WorldBenchmark.measureFast#,242,-0.0024691349051980988,-0.0018886618363747139,-0.0022715925970150236
squidlib#squidpony.performance.RNGBenchmark.measureLapR#,0,0.0,0.0,0.0
squidlib#squidpony.performance.DataStructureBenchmark.insertIntegerSquidOS3#NEED_TO_ENLARGE=1&SIZE=65536,0,0.0,0.0,0.0
squidlib#squidpony.performance.CoordPackerBenchmark.doRandomG#,238,0.0051023100584438605,0.009063553289015727,0.0018380379946589304
squidlib#squidpony.performance.HashBenchmark.doIntMist32#,0,0.0,0.0,0.0
squidlib#squidpony.performance.RNGBenchmark.measureFlapR#,65,0.00097074438969691,0.0021749119351338084,0.00028467190732264536
squidlib#squidpony.performance.HashBenchmark.doIntLightning64#,0,0.0,0.0,0.0
squidlib#squidpony.performance.HashBenchmark.doCharSirocco32#,0,0.0,0.0,0.0
squidlib#squidpony.performance.DataStructureBenchmark.insertIntegerGdxOS2#NEED_TO_ENLARGE=1&SIZE=65536,230,-0.01108989673258139,-0.011073869283842307,-0.013320566601430663
squidlib#squidpony.performance.CoordPackerBenchmark.doExpand#,220,-0.019164368450985028,-0.017660531900539705,-0.018088683953769006
squidlib#squidpony.performance.DataStructureBenchmark.insertIntegerSquidPrimitiveOM#NEED_TO_ENLARGE=2&SIZE=65536,200,-0.008275610589731554,-0.00820081159144525,-0.009085274832806233
squidlib#squidpony.performance.DataStructureBenchmark.insertStringSquidDefaultOM3#NEED_TO_ENLARGE=2&SIZE=65536,0,0.0,0.0,0.0
squidlib#squidpony.performance.MathBenchmark.measureMathCosDeg#,124,-0.000697116233441491,0.0029650820847861013,-0.0016943244467012598
squidlib#squidpony.performance.MathBenchmark.measureMathSinDeg#,219,-0.0014935035030076635,-7.805906717422389e-06,-0.003044610800085925
squidlib#squidpony.performance.HashBenchmark.doCharWater64#,0,0.0,0.0,0.0
squidlib#squidpony.performance.HashBenchmark.doIntWisp32#,0,0.0,0.0,0.0
