Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_zipkinDecoder#,"(5, 50)",0.010368320570596869,250,6363602.632911392,6351236.860759493,6377785.070063695
zipkin#zipkin2.EndpointBenchmarks.parseIpv6_literal#,"(5, 50)",0.03772771681684591,250,445.65239979610874,419.24508090366106,452.6657890391476
zipkin#zipkin2.codec.CodecBenchmarks.readClientSpan_PROTO3#,"(5, 50)",0.014338803324061754,250,1739.9893324379682,1727.1007077441104,1757.6270323700405
zipkin#zipkin2.SpanBenchmarks.buildClientSpan#,"(5, 50)",0.07316939031219337,250,344.5439484317577,322.7109189756817,355.0400838677905
zipkin#zipkin2.codec.CodecBenchmarks.writeClientSpan_JSON_V2#,"(5, 50)",0.014888636304784918,250,1677.2770952891683,1649.4973284274422,1686.964469541752
zipkin#zipkin2.elasticsearch.internal.BulkRequestBenchmarks.writeRequest_singleSpan#,"(5, 50)",0.016644497039341302,250,12189.170340542732,12149.687220216609,12265.097928881687
zipkin#zipkin2.EndpointBenchmarks.parseIpv4_addr#,"(5, 50)",0.08709495016650881,250,173.94284861859498,151.63928410578575,189.58887872477084
zipkin#zipkin2.codec.CodecBenchmarks.writeClientSpan_THRIFT#,"(5, 50)",0.010616334092796068,250,2465.0908224589934,2445.905230190905,2477.273773678393
zipkin#zipkin2.codec.CodecBenchmarks.readTenClientSpans_JSON_V2#,"(5, 50)",0.004106835026317737,250,65544.34910427194,65479.83499475898,65598.24578916533
zipkin#zipkin2.SpanBenchmarks.padLeft_31Chars#,"(5, 50)",0.11620712373796531,250,70.78288535174167,70.24334169353877,71.31881764813795
zipkin#zipkin2.EndpointBenchmarks.parseIpv6_addr#,"(5, 50)",0.15251274934134915,250,178.25969870586727,164.6017725461328,219.07582769968283
zipkin#zipkin2.internal.ReadBufferBenchmarks.readLongReverseBytes#,"(5, 50)",0.0067587905887661085,250,36.10383399344862,35.93517638504342,36.29938508071284
zipkin#zipkin2.internal.WriteBufferBenchmarks.writeUtf8_chinese_jdk#,"(5, 50)",0.03908614322062738,250,399.2262490618614,397.6222817168303,401.75235268499785
zipkin#zipkin2.elasticsearch.internal.BulkRequestBenchmarks.buildAndWriteRequest_tenSpans#,"(5, 50)",0.007900884028786092,250,105707.95978108079,105451.6159408815,106276.5534147545
zipkin#zipkin2.internal.ReadBufferBenchmarks.readLong#,"(5, 50)",0.009512898758624379,250,35.88765586844042,35.72341046349805,36.04781967835551
zipkin#zipkin2.internal.WriteBufferBenchmarks.writeUtf8_chinese#,"(5, 50)",0.05056212247606618,250,150.98919696553338,150.13188532234287,151.66999797214214
zipkin#zipkin2.internal.WriteBufferBenchmarks.varIntSizeInBytes_32#,"(5, 50)",0.013094269333112077,250,33.51753862100161,33.415219760261536,33.60388585306619
zipkin#zipkin2.internal.DelayLimiterBenchmarks.shouldInvoke_randomData#,"(5, 50)",0.04669805793302512,250,520.8024459720696,519.0657520389456,522.9833479964373
zipkin#zipkin2.SpanBenchmarks.buildClientSpan_clone#,"(5, 50)",0.07128586302575661,250,247.53936588137395,240.5489485726738,258.6456772917534
zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#,"(5, 50)",0.005382146087457532,250,7651920.18135554,7615488.000000001,7671276.458015267
zipkin#zipkin2.internal.ReadBufferBenchmarks.readLong_8arity#,"(5, 50)",0.010025726583329276,250,36.095898165291345,35.55938296458946,36.43576543038334
zipkin#zipkin2.codec.CodecBenchmarks.writeClientSpan_JSON_V1#,"(5, 50)",0.006653169791929405,250,3713.818886176315,3701.004139357624,3725.654763482215
zipkin#zipkin2.EndpointBenchmarks.parseIpv4_bytes#,"(5, 50)",0.12393539627962323,250,134.5031345247951,105.40968989235188,185.73931026093305
zipkin#zipkin2.codec.ProtoCodecBenchmarks.bytes_zipkinDecoder#,"(5, 50)",0.013840962241963685,250,1609927.5233494365,1597839.1309904153,1658183.7479270317
zipkin#zipkin2.codec.ProtoCodecBenchmarks.bytes_protobufDecoder#,"(5, 50)",0.01604435408545564,250,1609871.458937198,1601552.3997538462,1617142.054237182
zipkin#zipkin2.codec.JsonCodecBenchmarks.bytes_zipkinDecoder#,"(5, 50)",0.006165618294798941,250,6453076.232258066,6417250.461538462,6480929.032258065
zipkin#zipkin2.SpanBenchmarks.padLeft_1Char#,"(5, 50)",0.08733781437979066,250,67.62796919826874,67.3509984783303,68.18959239688556
zipkin#zipkin2.codec.CodecBenchmarks.writeTenClientSpans_JSON_V2#,"(5, 50)",0.0038957187712574384,250,15852.138909634059,15822.879574867027,15881.491159211546
zipkin#zipkin2.EndpointBenchmarks.parseIpv4_literal#,"(5, 50)",0.0861733822023417,250,267.2232813819326,259.73650435195407,283.1489833954712
zipkin#zipkin2.collector.MetricsBenchmarks.incrementBytes_mediumSpans_inMemory#,"(5, 50)",0.008366147321774629,250,44.28976383458353,44.166119851550874,44.50396216768916
zipkin#zipkin2.codec.CodecBenchmarks.writeChineseSpan_JSON_V2#,"(5, 50)",0.017603180493044452,250,1636.0517496326675,1625.4832189014942,1655.7756673814501
zipkin#zipkin2.codec.CodecBenchmarks.writeClientSpan_PROTO3#,"(5, 50)",0.016980425485871944,250,1046.7548278448808,1044.482895164329,1074.6471416811742
zipkin#zipkin2.codec.ProtoCodecBenchmarks.bytebuffer_wireDecoder#,"(5, 50)",0.013405787638426502,250,2142192.6509635975,2130282.2998684393,2150714.9075268814
zipkin#zipkin2.SpanBenchmarks.padLeft_15Chars#,"(5, 50)",0.12103327951836373,250,67.91511516329449,67.4944041643428,68.40681410646604
zipkin#zipkin2.codec.CodecBenchmarks.readClientSpan_JSON_V1#,"(5, 50)",0.010557646570786937,250,15708.612799008999,15600.941255139423,15800.83134081295
zipkin#zipkin2.SpanBenchmarks.buildClientSpan_longs#,"(5, 50)",0.07874206977998646,250,380.96201479153956,373.6325810595748,398.08744131777473
zipkin#zipkin2.codec.CodecBenchmarks.readChineseSpan_PROTO3#,"(5, 50)",0.011527004555644298,250,1994.9011134755997,1985.7143318940612,2001.2996325258755
zipkin#zipkin2.collector.MetricsBenchmarks.incrementBytes_shortSpans_inMemory#,"(5, 50)",0.008240085996459166,250,44.43962250644185,44.30800743306022,44.70428130679177
