Benchmark,Time Saved,Average Difference,CI Upper Difference,CI Lower Difference
zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#,247,0.011007240580213148,0.009244840410622804,-0.0031049826414354933
zipkin#zipkin2.codec.ProtoCodecBenchmarks.bytes_protobufDecoder#,247,-0.006547569545804811,-0.0001700617549554785,-0.0021970521351362213
zipkin#zipkin2.codec.CodecBenchmarks.writeTenClientSpans_JSON_V2#,247,0.0011381381905856028,0.00035687145873281555,-0.006778414543230479
zipkin#zipkin2.internal.ReadBufferBenchmarks.readLong_8arity#,247,-0.012727551771186505,0.008190285714155246,-0.007079571512017465
zipkin#zipkin2.SpanBenchmarks.padLeft_1Char#,235,0.003440286469978601,0.015507575753452584,8.812491530366691e-05
zipkin#zipkin2.EndpointBenchmarks.parseIpv4_bytes#,247,-0.27320456808627874,0.7123658022352671,-0.0736079180486672
zipkin#zipkin2.codec.CodecBenchmarks.writeClientSpan_PROTO3#,247,-0.06159629880474775,-0.029594108105081767,-0.06417789406034301
zipkin#zipkin2.SpanBenchmarks.buildClientSpan#,0,0.0,0.0,0.0
zipkin#zipkin2.SpanBenchmarks.buildClientSpan_longs#,246,-0.12188493505314493,0.034612386248915564,-0.12004258552801542
zipkin#zipkin2.codec.CodecBenchmarks.readTenClientSpans_JSON_V2#,247,0.016224684225928675,0.016873728538165544,0.01664902568525337
zipkin#zipkin2.codec.CodecBenchmarks.readChineseSpan_PROTO3#,247,-0.03548379357138491,-0.00868344792712725,-0.034221430721441466
zipkin#zipkin2.codec.ProtoCodecBenchmarks.bytebuffer_protobufDecoder#,245,0.007863007241918369,0.048946092494714495,0.01409594509467561
zipkin#zipkin2.codec.CodecBenchmarks.writeChineseSpan_PROTO3#,247,-0.010183541372941775,-0.005837575330712735,-0.008106109139329515
zipkin#zipkin2.codec.CodecBenchmarks.writeClientSpan_JSON_V2#,247,-0.055852565212987905,0.0889668947426677,-0.043522389873529715
zipkin#zipkin2.elasticsearch.internal.BulkRequestBenchmarks.writeRequest_singleSpan#,247,0.0011477198841113377,0.09978453763176899,0.00042820414656422935
zipkin#zipkin2.codec.ProtoCodecBenchmarks.bytes_wireDecoder#,247,0.045881176967591135,0.058425516702904814,0.04667035044507614
zipkin#zipkin2.internal.ReadBufferBenchmarks.readLong_8arity_localArray#,247,-0.02775935573714474,0.024541955895327237,-0.027756279621643905
zipkin#zipkin2.internal.WriteBufferBenchmarks.varIntSizeInBytes_64#,247,0.0051342190739217175,0.038942717895510244,-0.0015831436938030495
zipkin#zipkin2.codec.CodecBenchmarks.writeChineseSpan_THRIFT#,247,0.04200748472320006,0.03744597539074918,0.044540424617572585
zipkin#zipkin2.collector.MetricsBenchmarks.incrementBytes_longSpans_inMemory#,247,0.028636827061302658,0.024227613000172104,0.031221455448447007
zipkin#zipkin2.SpanBenchmarks.padLeft_17Chars#,0,0.0,0.0,0.0
