m_id,n,ns_per_op,it_setup,fork_setup,it_pos,fork_pos,b_name
0,16476.0,15726.44476814761,100,5,1,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
1,17023.0,14832.75192386771,100,5,2,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
2,22255.0,22233.223994607957,100,5,3,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
3,18795.0,53061.32737430168,100,5,4,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
4,27919.0,18078.424012321357,100,5,5,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
5,22051.0,11508.859280758244,100,5,6,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
6,23551.0,10706.020466222242,100,5,7,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
7,21904.0,11616.316289262237,100,5,8,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
8,23362.0,10825.726564506465,100,5,9,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
9,23109.0,10974.402700246657,100,5,10,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
10,20308.0,12331.945637187315,100,5,11,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
11,20292.0,12700.525921545435,100,5,12,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
12,23265.0,10908.954051149794,100,5,13,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
13,23373.0,10756.1928721174,100,5,14,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
14,23106.0,11244.823682160482,100,5,15,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
15,23200.0,11150.619310344828,100,5,16,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
16,21660.0,11783.039704524472,100,5,17,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
17,21318.0,12303.840135097102,100,5,18,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
18,22612.0,11484.671501857421,100,5,19,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
19,22819.0,11631.056225075596,100,5,20,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
20,21701.0,11870.932399428599,100,5,21,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
21,21311.0,12150.516822298343,100,5,22,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
22,21127.0,12330.751739480287,100,5,23,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
23,23089.0,11534.110268959243,100,5,24,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
24,23144.0,11064.324922226062,100,5,25,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
25,23384.0,10801.460827916526,100,5,26,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
26,21921.0,11728.166415765705,100,5,27,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
27,21995.0,11804.590497840418,100,5,28,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
28,22446.0,11449.27737681547,100,5,29,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
29,21226.0,12410.242532742865,100,5,30,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
30,23149.0,10900.732472245021,100,5,31,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
31,23087.0,10948.942695023175,100,5,32,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
32,22707.0,11298.799489144318,100,5,33,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
33,23149.0,10852.467752386716,100,5,34,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
34,22987.0,10929.946143472398,100,5,35,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
35,23209.0,11047.941746736182,100,5,36,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
36,23152.0,10934.164478230821,100,5,37,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
37,23327.0,10767.551421100015,100,5,38,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
38,23334.0,10942.097882917631,100,5,39,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
39,21581.0,11725.987859691395,100,5,40,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
40,20553.0,12796.690702087286,100,5,41,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
41,20554.0,12360.16425026759,100,5,42,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
42,20671.0,12234.596487833196,100,5,43,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
43,23177.0,10834.786900806836,100,5,44,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
44,23073.0,11246.588133315996,100,5,45,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
45,23066.0,11019.512009017604,100,5,46,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
46,23115.0,11031.67293964958,100,5,47,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
47,23163.0,11139.556706816908,100,5,48,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
48,23262.0,10979.582151147797,100,5,49,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
49,21763.0,11956.888296650279,100,5,50,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
50,21449.0,11685.041913375915,100,5,51,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
51,23198.0,10851.05612552806,100,5,52,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
52,21866.0,11639.002652519894,100,5,53,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
53,22749.0,11375.57308013539,100,5,54,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
54,23234.0,10895.530343462166,100,5,55,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
55,23064.0,11229.34859521332,100,5,56,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
56,22526.0,11336.64778478203,100,5,57,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
57,23246.0,10921.441280220255,100,5,58,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
58,23053.0,11141.330325771052,100,5,59,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
59,23141.0,11016.744998055401,100,5,60,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
60,21692.0,12000.421906693711,100,5,61,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
61,22037.0,11633.37804601352,100,5,62,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
62,22984.0,11172.202575704838,100,5,63,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
63,23326.0,10727.77570093458,100,5,64,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
64,23195.0,10895.426083207589,100,5,65,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
65,23425.0,10743.578228388473,100,5,66,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
66,23438.0,10820.065875927981,100,5,67,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
67,22593.0,11161.088124640377,100,5,68,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
68,22739.0,11246.508289722504,100,5,69,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
69,23347.0,10858.34411273397,100,5,70,1,protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000
