m_id,n,ns_per_op,it_setup,fork_setup,it_pos,fork_pos,b_name
0,66.0,15261944.242424244,100,5,1,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
1,100.0,10063544.32,100,5,2,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
2,131.0,7740439.45038168,100,5,3,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
3,132.0,7595225.212121213,100,5,4,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
4,133.0,7545755.909774437,100,5,5,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
5,133.0,7519640.060150377,100,5,6,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
6,128.0,7874240.000000001,100,5,7,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
7,126.0,7973611.682539681,100,5,8,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
8,131.0,7642260.519083969,100,5,9,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
9,134.0,7506561.910447761,100,5,10,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
10,133.0,7533129.142857143,100,5,11,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
11,134.0,7503138.388059703,100,5,12,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
12,132.0,7614401.939393939,100,5,13,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
13,124.0,8073546.322580646,100,5,14,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
14,130.0,7733689.107692308,100,5,15,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
15,127.0,7919535.370078741,100,5,16,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
16,134.0,7496169.074626867,100,5,17,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
17,133.0,7516437.172932331,100,5,18,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
18,133.0,7550067.488721807,100,5,19,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
19,134.0,7509068.417910447,100,5,20,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
20,133.0,7516252.390977444,100,5,21,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
21,134.0,7512247.402985076,100,5,22,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
22,133.0,7521980.631578948,100,5,23,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
23,133.0,7529495.097744361,100,5,24,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
24,133.0,7525614.6766917305,100,5,25,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
25,122.0,8203616.5245901635,100,5,26,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
26,131.0,7653579.236641221,100,5,27,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
27,133.0,7531404.511278195,100,5,28,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
28,133.0,7550621.834586468,100,5,29,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
29,132.0,7583681.93939394,100,5,30,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
30,133.0,7542429.834586467,100,5,31,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
31,133.0,7566143.518796994,100,5,32,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
32,132.0,7654679.2727272725,100,5,33,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
33,131.0,7639571.541984734,100,5,34,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
34,126.0,7949945.904761906,100,5,35,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
35,128.0,7828672.0,100,5,36,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
36,134.0,7512125.134328358,100,5,37,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
37,134.0,7500326.208955224,100,5,38,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
38,134.0,7507540.059701493,100,5,39,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
39,134.0,7503749.731343284,100,5,40,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
40,134.0,7499042.388059701,100,5,41,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
41,120.0,8326553.6000000015,100,5,42,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
42,134.0,7475444.537313433,100,5,43,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
43,134.0,7490177.910447762,100,5,44,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
44,134.0,7504727.880597017,100,5,45,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
45,134.0,7482902.925373134,100,5,46,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
46,134.0,7501365.492537315,100,5,47,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
47,133.0,7526415.398496241,100,5,48,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
48,134.0,7497208.358208955,100,5,49,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
49,132.0,7595783.757575758,100,5,50,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
50,132.0,7591563.636363637,100,5,51,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
51,134.0,7503994.268656718,100,5,52,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
52,133.0,7552839.218045114,100,5,53,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
53,133.0,7543476.932330828,100,5,54,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
54,134.0,7513898.029850747,100,5,55,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
55,134.0,7513836.8955223905,100,5,56,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
56,133.0,7533437.112781955,100,5,57,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
57,133.0,7527832.0601503765,100,5,58,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
58,133.0,7528016.842105265,100,5,59,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
59,133.0,7558813.834586465,100,5,60,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
60,133.0,7533560.300751881,100,5,61,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
61,133.0,7529248.721804513,100,5,62,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
62,133.0,7531589.293233083,100,5,63,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
63,133.0,7551237.77443609,100,5,64,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
64,132.0,7600252.121212122,100,5,65,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
65,134.0,7510963.582089553,100,5,66,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
66,133.0,7538918.977443609,100,5,67,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
67,132.0,7577041.454545455,100,5,68,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
68,131.0,7636569.893129771,100,5,69,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
69,131.0,7641134.90076336,100,5,70,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
70,132.0,7576110.545454547,100,5,71,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
71,133.0,7538611.007518797,100,5,72,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
72,134.0,7483819.940298509,100,5,73,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
73,134.0,7477584.238805969,100,5,74,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
74,134.0,7503077.253731344,100,5,75,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
75,134.0,7478012.179104478,100,5,76,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
76,134.0,7489138.626865673,100,5,77,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
77,133.0,7535962.466165414,100,5,78,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
78,134.0,7514387.104477613,100,5,79,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
79,133.0,7553208.781954886,100,5,80,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
80,134.0,7509863.164179105,100,5,81,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
81,133.0,7548466.045112782,100,5,82,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
82,132.0,7615208.727272727,100,5,83,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
83,134.0,7501365.492537315,100,5,84,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
84,133.0,7522473.383458649,100,5,85,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
85,134.0,7504483.343283583,100,5,86,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
86,133.0,7527400.90225564,100,5,87,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
87,133.0,7522165.413533835,100,5,88,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
88,133.0,7525922.646616541,100,5,89,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
89,133.0,7552408.060150376,100,5,90,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
90,134.0,7513775.761194031,100,5,91,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
91,133.0,7529926.255639098,100,5,92,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
92,134.0,7499103.52238806,100,5,93,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
93,132.0,7582564.848484849,100,5,94,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
94,132.0,7586474.666666667,100,5,95,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
95,133.0,7540582.015037595,100,5,96,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
96,133.0,7556350.07518797,100,5,97,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
97,131.0,7663584.732824429,100,5,98,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
98,125.0,8021606.3999999985,100,5,99,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
99,134.0,7506011.701492538,100,5,100,1,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
100,74.0,13598055.783783784,100,5,1,2,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
101,122.0,8249075.409836066,100,5,2,2,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
102,130.0,7697896.369230769,100,5,3,2,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
103,131.0,7634881.465648855,100,5,4,2,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
104,129.0,7769127.689922482,100,5,5,2,zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#
